asvLen	totReads	numSamps
ASV.118	216	17	1
ASV.119	199	17	1
ASV.120	298	16	1
ASV.121	281	16	1
ASV.122	295	16	1
ASV.123	326	16	1
ASV.124	315	16	1
ASV.125	331	16	1
ASV.126	268	16	1
ASV.127	319	16	1
ASV.128	196	16	1
ASV.129	278	15	1
ASV.130	336	15	1
ASV.131	317	15	1
ASV.132	302	15	1
ASV.133	207	15	1
ASV.134	274	15	1
ASV.135	260	15	1
ASV.136	233	15	1
ASV.137	262	15	1
ASV.138	225	14	1
ASV.139	266	14	1
ASV.140	319	14	1
ASV.141	256	14	1
ASV.142	326	14	1
ASV.143	316	14	1
ASV.144	222	14	1
ASV.145	229	14	1
ASV.146	273	14	1
ASV.147	198	14	1
ASV.148	261	14	1
ASV.149	331	14	1
ASV.150	258	14	1
ASV.151	196	14	1
ASV.152	223	14	1
ASV.153	275	14	1
ASV.154	309	13	1
ASV.155	323	13	1
ASV.156	273	13	1
ASV.157	210	13	1
ASV.158	198	13	1
ASV.159	318	13	1
ASV.160	340	13	1
ASV.161	266	13	1
ASV.162	239	13	1
ASV.163	270	13	1
ASV.164	344	13	1
ASV.165	232	13	1
ASV.166	271	13	1
ASV.167	250	13	1
ASV.168	201	13	1
ASV.169	296	13	1
ASV.170	198	13	1
ASV.171	252	12	1
ASV.172	266	12	1
ASV.173	208	12	1
ASV.174	330	12	1
ASV.175	241	12	1
ASV.176	343	12	1
ASV.177	324	12	1
ASV.178	356	12	1
ASV.179	196	12	1
ASV.180	259	12	1
ASV.181	280	12	1
ASV.182	320	12	1
ASV.183	199	12	1
ASV.184	216	12	1
ASV.185	336	12	1
ASV.186	306	12	1
ASV.187	308	12	1
ASV.189	211	11	1
ASV.190	282	11	1
ASV.191	263	11	1
ASV.192	271	11	1
ASV.193	226	11	1
ASV.194	225	11	1
ASV.195	206	11	1
ASV.196	195	11	1
ASV.197	293	11	1
ASV.198	249	11	1
ASV.199	272	11	1
ASV.200	247	10	1
ASV.201	201	10	1
ASV.202	268	10	1
ASV.203	208	10	1
ASV.204	333	10	1
ASV.205	232	10	1
ASV.206	259	10	1
ASV.207	343	10	1
ASV.208	343	10	1
ASV.209	363	10	1
ASV.210	331	10	1
ASV.211	274	10	1
ASV.212	322	10	1
ASV.213	277	10	1
ASV.214	299	9	1
ASV.215	226	9	1
ASV.216	210	9	1
ASV.217	280	9	1
ASV.218	226	9	1
ASV.219	208	9	1
ASV.220	235	9	1
ASV.221	277	9	1
ASV.222	202	9	1
ASV.223	300	9	1
ASV.224	357	9	1
ASV.225	261	9	1
ASV.226	273	9	1
ASV.227	198	9	1
ASV.228	355	9	1
ASV.230	218	8	1
ASV.231	362	8	1
ASV.232	220	8	1
ASV.233	292	8	2
ASV.234	230	8	1
ASV.235	208	8	1
ASV.236	316	8	1
ASV.237	320	8	1
ASV.238	288	8	1
ASV.239	224	8	1
ASV.240	306	8	1
ASV.241	296	8	1
ASV.242	215	8	1
ASV.243	274	8	1
ASV.244	276	8	1
ASV.245	199	8	1
ASV.246	198	8	1
ASV.247	232	8	1
ASV.249	259	7	1
ASV.250	259	7	1
ASV.251	227	7	1
ASV.252	323	7	1
ASV.253	272	7	1
ASV.254	276	7	1
ASV.255	276	7	1
ASV.256	229	7	1
ASV.257	290	7	1
ASV.258	327	7	1
ASV.259	202	7	1
ASV.260	235	7	1
ASV.261	245	7	1
ASV.262	360	7	1
ASV.263	282	7	1
ASV.264	306	7	1
ASV.265	325	7	1
ASV.266	223	7	1
ASV.267	262	7	1
ASV.268	243	7	1
ASV.269	322	7	1
ASV.270	310	7	1
ASV.271	225	7	1
ASV.277	315	6	1
ASV.278	307	6	1
ASV.279	358	6	1
ASV.280	235	6	1
ASV.281	298	6	1
ASV.282	220	6	1
ASV.283	344	6	1
ASV.284	228	6	1
