Hanna2-63684A	Hanna14-63688A	Hanna16-63690A	Hanna18-63694A	Hanna20-63696A	Hanna22-63698A	Hanna24-63700A	Hanna28-63708A	Hanna4-63712A	Hanna6-63728A	Hanna30-63738A	Hanna33-63744A	Hanna35-63746A	Hanna37-63750A	Hanna39-63754A	Hanna8-63758A	Hanna10-64077A	Hanna12-64089A	Hanna41-64096A	Hanna43-64098A	Hanna46-64100A	Hanna45-64102A	Hanna48-64106A	Hanna50-64108A	Hanna52-64110A	Hanna54-64114A	Hanna56-64118A
ASV.51	0	0	0	0	0	0	0	978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	874	0	0	0	0
ASV.53	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0
ASV.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0
ASV.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932	0	0	0	0	0	0	0	0	0	0	0
ASV.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	0	0	0
ASV.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	0	315	0	0	0	0	0
ASV.58	0	0	0	0	0	0	0	0	0	0	0	880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.59	0	0	854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.60	0	0	0	0	0	0	0	0	0	127	0	33	0	209	192	98	94	18	0	0	0	0	0	0	0	0	0
ASV.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	282	0	0	0	0	0
ASV.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	752	0	0	0	0	0
ASV.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	212	230	239	0	0
ASV.65	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	286	0	67	0	0	0	0	0
ASV.67	0	0	0	0	0	0	0	0	0	0	0	268	184	221	0	0	0	27	0	0	0	0	0	0	0	0	0
ASV.68	0	0	0	0	0	0	0	0	0	0	0	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
