# Created manually in R.
# Source	Type	Station	PairDir
RawFastqs/SRR13612831_2.fastq.gz	DNA	Stn15	SRR13612831
RawFastqs/SRR13612832_1.fastq.gz	DNA	Stn15	SRR13612832
RawFastqs/SRR13612832_2.fastq.gz	DNA	Stn15	SRR13612832
RawFastqs/SRR13612837_1.fastq.gz	DNA	Stn14	SRR13612837
RawFastqs/SRR13612837_2.fastq.gz	DNA	Stn14	SRR13612837
RawFastqs/SRR13612838_1.fastq.gz	DNA	Stn14	SRR13612838
RawFastqs/SRR13612838_2.fastq.gz	DNA	Stn14	SRR13612838
RawFastqs/SRR13612840_1.fastq.gz	DNA	Stn14	SRR13612840
RawFastqs/SRR13612840_2.fastq.gz	DNA	Stn14	SRR13612840
RawFastqs/SRR13612846_1.fastq.gz	DNA	Stn13	SRR13612846
RawFastqs/SRR13612846_2.fastq.gz	DNA	Stn13	SRR13612846
RawFastqs/SRR13612847_1.fastq.gz	DNA	Stn13	SRR13612847
RawFastqs/SRR13612847_2.fastq.gz	DNA	Stn13	SRR13612847
RawFastqs/SRR13612848_1.fastq.gz	DNA	Stn13	SRR13612848
RawFastqs/SRR13612848_2.fastq.gz	DNA	Stn13	SRR13612848
RawFastqs/SRR13612849_1.fastq.gz	DNA	Stn2	SRR13612849
RawFastqs/SRR13612849_2.fastq.gz	DNA	Stn2	SRR13612849
RawFastqs/SRR13612850_1.fastq.gz	DNA	Stn6	SRR13612850
RawFastqs/SRR13612850_2.fastq.gz	DNA	Stn6	SRR13612850
RawFastqs/SRR13612851_1.fastq.gz	DNA	Stn6	SRR13612851
RawFastqs/SRR13612851_2.fastq.gz	DNA	Stn6	SRR13612851
RawFastqs/SRR13612852_1.fastq.gz	DNA	Stn6	SRR13612852
RawFastqs/SRR13612852_2.fastq.gz	DNA	Stn6	SRR13612852
RawFastqs/SRR13612853_1.fastq.gz	DNA	Stn6	SRR13612853
RawFastqs/SRR13612853_2.fastq.gz	DNA	Stn6	SRR13612853
RawFastqs/SRR13612858_1.fastq.gz	DNA	Stn5	SRR13612858
RawFastqs/SRR13612858_2.fastq.gz	DNA	Stn5	SRR13612858
RawFastqs/SRR13612859_1.fastq.gz	DNA	Stn5	SRR13612859
RawFastqs/SRR13612859_2.fastq.gz	DNA	Stn5	SRR13612859
RawFastqs/SRR13612860_1.fastq.gz	DNA	Stn2	SRR13612860
RawFastqs/SRR13612860_2.fastq.gz	DNA	Stn2	SRR13612860
RawFastqs/SRR13612861_1.fastq.gz	DNA	Stn5	SRR13612861
RawFastqs/SRR13612861_2.fastq.gz	DNA	Stn5	SRR13612861
RawFastqs/SRR13612865_1.fastq.gz	DNA	Stn4	SRR13612865
RawFastqs/SRR13612865_2.fastq.gz	DNA	Stn4	SRR13612865
RawFastqs/SRR13612866_1.fastq.gz	DNA	Stn4	SRR13612866
RawFastqs/SRR13612866_2.fastq.gz	DNA	Stn4	SRR13612866
RawFastqs/SRR13612867_1.fastq.gz	DNA	Stn4	SRR13612867
RawFastqs/SRR13612867_2.fastq.gz	DNA	Stn4	SRR13612867
RawFastqs/SRR13612873_1.fastq.gz	DNA	Stn3	SRR13612873
RawFastqs/SRR13612873_2.fastq.gz	DNA	Stn3	SRR13612873
RawFastqs/SRR13612874_1.fastq.gz	DNA	Stn3	SRR13612874
RawFastqs/SRR13612874_2.fastq.gz	DNA	Stn3	SRR13612874
RawFastqs/SRR13612875_1.fastq.gz	DNA	Stn3	SRR13612875
RawFastqs/SRR13612875_2.fastq.gz	DNA	Stn3	SRR13612875
RawFastqs/SRR13612876_1.fastq.gz	DNA	Stn3	SRR13612876
RawFastqs/SRR13612876_2.fastq.gz	DNA	Stn3	SRR13612876
RawFastqs/SRR13612883_1.fastq.gz	DNA	Stn1.1	SRR13612883
RawFastqs/SRR13612883_2.fastq.gz	DNA	Stn1.1	SRR13612883
RawFastqs/SRR13612884_1.fastq.gz	DNA	Stn1.1	SRR13612884
RawFastqs/SRR13612884_2.fastq.gz	DNA	Stn1.1	SRR13612884
