SRR1178345	SRR1178351	SRR1178352	SRR1178353	SRR1178355	SRR1178356	SRR1178357	SRR1178354	SRR1178346	SRR1178358	SRR1178347	SRR1178348	SRR1178349	SRR1178350
ASV.143	0	0	0	0	0	0	0	0	0	0	100	0	0	0
ASV.144	0	0	0	0	25	0	0	0	0	0	19	0	55	0
ASV.145	23	0	0	0	50	0	0	0	0	0	0	0	25	0
ASV.146	0	0	0	0	32	0	0	0	0	0	0	0	66	0
ASV.147	0	0	0	0	0	0	96	0	0	0	0	0	0	0
ASV.148	0	0	0	0	0	0	0	0	0	0	0	0	0	95
ASV.149	94	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.150	0	0	0	0	94	0	0	0	0	0	0	0	0	0
ASV.152	0	0	0	0	0	0	0	0	0	0	0	0	93	0
ASV.153	0	0	0	0	0	0	0	0	0	0	0	0	67	25
ASV.154	0	0	0	0	0	0	90	0	0	0	0	0	0	0
ASV.155	0	0	45	44	0	0	0	0	0	0	0	0	0	0
ASV.156	0	64	0	0	23	0	0	0	0	0	0	0	0	0
ASV.157	0	7	0	0	17	0	61	0	0	0	0	0	0	0
ASV.158	41	18	0	0	25	0	0	0	0	0	0	0	0	0
ASV.159	0	0	0	0	0	0	0	0	0	0	0	0	84	0
ASV.161	83	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.162	36	0	0	34	13	0	0	0	0	0	0	0	0	0
ASV.163	0	0	0	0	83	0	0	0	0	0	0	0	0	0
ASV.164	41	26	0	0	14	0	0	0	0	0	0	0	0	0
ASV.165	80	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.166	0	0	0	0	0	0	0	0	0	80	0	0	0	0
ASV.167	20	0	0	0	0	0	0	0	0	0	0	0	59	0
ASV.168	0	0	0	0	0	0	0	0	0	0	0	0	79	0
ASV.169	0	0	0	0	77	0	0	0	0	0	0	0	0	0
ASV.170	0	0	0	0	0	0	0	0	77	0	0	0	0	0
ASV.171	0	0	0	0	51	0	0	0	0	0	0	0	25	0
ASV.172	0	0	0	0	0	0	0	0	0	0	0	0	76	0
ASV.173	29	0	0	0	44	0	0	0	0	0	0	0	0	0
ASV.174	0	0	0	0	0	0	0	0	0	0	0	0	73	0
ASV.175	10	0	0	0	0	0	0	0	0	0	0	0	62	0
ASV.176	0	0	0	0	0	0	12	60	0	0	0	0	0	0
ASV.177	0	0	0	0	0	0	0	0	72	0	0	0	0	0
ASV.178	0	0	0	0	0	0	0	0	0	72	0	0	0	0
ASV.179	0	0	0	0	0	0	0	0	0	34	10	21	0	7
ASV.180	0	0	0	0	0	0	0	0	0	0	72	0	0	0
ASV.181	0	0	0	0	0	0	0	0	0	0	72	0	0	0
ASV.183	69	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.184	0	0	0	0	0	0	0	0	0	0	0	0	69	0
ASV.186	0	0	0	0	0	0	0	0	0	0	0	0	0	68
ASV.187	0	14	52	0	0	0	0	0	0	0	0	0	0	0
ASV.188	0	0	0	0	0	0	0	0	66	0	0	0	0	0
ASV.189	0	0	0	0	0	0	0	0	66	0	0	0	0	0
ASV.190	0	0	44	0	0	0	0	0	21	0	0	0	0	0
ASV.191	0	0	0	0	14	0	0	0	0	0	51	0	0	0
ASV.192	0	0	0	0	63	0	0	0	0	0	0	0	0	0
ASV.194	0	0	0	0	0	0	0	0	0	17	46	0	0	0
ASV.195	0	0	0	0	0	0	0	0	0	0	0	0	63	0
ASV.196	0	0	0	0	0	61	0	0	0	0	0	0	0	0
ASV.197	0	0	0	0	0	0	61	0	0	0	0	0	0	0
ASV.198	0	0	0	0	0	0	0	0	0	0	61	0	0	0
ASV.199	0	0	60	0	0	0	0	0	0	0	0	0	0	0
ASV.200	0	0	0	0	0	0	0	0	0	60	0	0	0	0
ASV.201	0	0	0	0	0	0	0	0	0	0	0	0	60	0
ASV.202	0	0	0	0	0	0	0	0	0	59	0	0	0	0
ASV.203	0	0	0	0	0	0	0	0	0	0	0	0	59	0
ASV.204	0	0	0	0	0	0	0	0	0	0	0	0	0	58
ASV.205	46	0	0	0	0	0	0	0	11	0	0	0	0	0
ASV.206	0	57	0	0	0	0	0	0	0	0	0	0	0	0
ASV.207	0	0	0	0	0	0	0	0	0	0	0	57	0	0
ASV.208	0	0	0	0	0	0	0	0	0	0	0	0	57	0
ASV.209	0	0	0	0	0	0	0	0	0	0	0	0	57	0
ASV.210	0	0	0	0	0	0	0	0	0	0	0	0	0	57
ASV.211	24	32	0	0	0	0	0	0	0	0	0	0	0	0
ASV.212	0	0	0	0	0	56	0	0	0	0	0	0	0	0
ASV.213	0	0	0	0	0	0	0	0	0	56	0	0	0	0
ASV.214	0	0	0	0	0	0	0	0	0	0	0	0	56	0
ASV.215	55	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.216	0	55	0	0	0	0	0	0	0	0	0	0	0	0
ASV.217	0	0	0	0	55	0	0	0	0	0	0	0	0	0
ASV.218	0	0	0	0	0	0	55	0	0	0	0	0	0	0
ASV.219	0	0	0	0	0	0	0	0	55	0	0	0	0	0
ASV.220	0	0	0	0	0	0	0	0	55	0	0	0	0	0
