StudyID,SAMPLEID,lat,lon,classification
Raes_2020,SRR10759650,-25.9835,-169.9958,open ocean
Raes_2020,SRR10759649,-25.4911,-170.0026,open ocean
Shiozaki_2018GBC,KH.13.7.W06.100per.DNA,-25,-170,open ocean
Shiozaki_2018GBC,KH.13.7.W06.100per.RNA,-25,-170,open ocean
Shiozaki_2018GBC,KH.13.7.W06.25per.DNA,-25,-170,open ocean
Raes_2020,SRR10759648,-24.993,-170.004,open ocean
Raes_2020,SRR10759646,-24.4994,-170.0022,open ocean
Raes_2020,SRR10759645,-23.9956,-170.0036,open ocean
Raes_2020,SRR10759644,-23.5035,-169.9982,open ocean
Shiozaki_2018GBC,KH.11.10.E15.100per.DNA,-23,-120,open ocean
Shiozaki_2018GBC,KH.11.10.E15.1per.DNA,-23,-120,open ocean
Raes_2020,SRR10759643,-22.9949,-170.0004,open ocean
Raes_2020,SRR10759642,-22.4992,-170.0001,open ocean
Raes_2020,SRR10759641,-22.0016,-169.9999,open ocean
Raes_2020,SRR10759640,-21.5003,-170.0001,open ocean
Raes_2020,SRR10759639,-20.9973,-169.9991,open ocean
Raes_2020,SRR10759638,-20.5032,-169.9991,open ocean
Shiozaki_2018GBC,KH.13.7.W05.100per.DNA,-20,-170,open ocean
Shiozaki_2018GBC,KH.13.7.W05.100per.RNA,-20,-170,open ocean
Shiozaki_2018GBC,KH.13.7.W05.1per.DNA,-20,-170,open ocean
Shiozaki_2018GBC,KH.13.7.W05.25per.DNA,-20,-170,open ocean
Raes_2020,SRR10759637,-19.9981,-170.0022,open ocean
Raes_2020,SRR10759635,-19.4953,-170.0026,open ocean
Raes_2020,SRR10759634,-19.0012,-170.059,open ocean
Raes_2020,SRR10759633,-18.5003,-170.0019,open ocean
Raes_2020,SRR10759632,-17.9984,-170.0004,open ocean
Raes_2020,SRR10759631,-17.4985,-170.001,open ocean
Raes_2020,SRR10759630,-17.0013,-170.0012,open ocean
Raes_2020,SRR10759629,-16.5028,-170.0004,open ocean
Raes_2020,SRR10759628,-16.0015,-170.0016,open ocean
Raes_2020,SRR10759627,-15.4963,-170.001,open ocean
Raes_2020,SRR10759626,-15.0029,-170,open ocean
Raes_2020,SRR10759673,-14.6644,-169.9982,open ocean
Raes_2020,SRR10759672,-14.2799,-169.996,open ocean
Raes_2020,SRR10759671,-13.969,-169.9977,open ocean
Raes_2020,SRR10759670,-13.5033,-170.0026,open ocean
Raes_2020,SRR10759669,-12.9975,-169.9982,open ocean
Raes_2020,SRR10759668,-12.498,-169.999,open ocean
Raes_2020,SRR10759667,-11.9945,-170.0024,open ocean
Raes_2020,SRR10759666,-11.4959,-169.9992,open ocean
Raes_2020,SRR10759665,-10.9975,-169.9994,open ocean
Raes_2020,SRR10759661,-9.499,-168.9992,open ocean
Raes_2020,SRR10759625,-8.9988,-168.8752,open ocean
Raes_2020,SRR10759624,-8.4941,-168.7514,open ocean
Raes_2020,SRR10759623,-8.0003,-168.6161,open ocean
Raes_2020,SRR10759622,-7.4985,-168.7503,open ocean
Raes_2020,SRR10759621,-7.002,-168.7528,open ocean
Raes_2020,SRR10759620,-6.5003,-168.7491,open ocean
Raes_2020,SRR10759619,-5.9991,-168.7513,open ocean
Raes_2020,SRR10759618,-5.5023,-168.7504,open ocean
Raes_2020,SRR10759616,-4.9981,-168.7502,open ocean
Raes_2020,SRR10759615,-4.5003,-168.7502,open ocean
Raes_2020,SRR10759614,-3.9944,-168.7519,open ocean
TianjUni_2017,SRR6834186,-3.99283333,96.32616666,open ocean
TianjUni_2017,SRR6834187,-3.99283333,96.32616666,open ocean
TianjUni_2017,SRR6834188,-3.99283333,96.32616666,open ocean
Raes_2020,SRR10759613,-3.5013,-168.7506,open ocean
Raes_2020,SRR10759612,-2.9995,-168.7514,open ocean
Raes_2020,SRR10759610,-2.0011,-168.7501,open ocean
Raes_2020,SRR10759609,-1.5004,-168.7497,open ocean
Raes_2020,SRR10759608,-0.9991,-168.7493,open ocean
Raes_2020,SRR10759607,-0.4966,-168.7438,open ocean
TianjUni_2017,SRR6834182,-0.00236666,92.00228333,open ocean
TianjUni_2017,SRR6834183,-0.00236666,92.00228333,open ocean
TianjUni_2017,SRR6834172,0,84,open ocean
TianjUni_2017,SRR6834184,0,84,open ocean
TianjUni_2017,SRR6834185,0,84,open ocean
Raes_2020,SRR10759605,0.0042,-168.7368,open ocean
Ding_2021,SRR11784076,2.01,130,coastal
Ding_2021,SRR11784077,4.51,130,open ocean
TianjUni_2017,SRR6834174,4.993,90.50283333,open ocean
TianjUni_2017,SRR6834175,4.993,90.50283333,open ocean
TianjUni_2017,SRR6834177,4.993,90.50283333,open ocean
Shiozaki_2017,KH.14.3.St02.DNA,5,-170,open ocean
Ding_2021,SRR11784079,5.5,130,open ocean
Ding_2021,SRR11784080,8,130,open ocean
Ding_2021,SRR11784082,9,130,open ocean
TianjUni_2017,SRR6834173,9.99343333,84.49403333,open ocean
TianjUni_2017,SRR6834180,9.99343333,84.49403333,open ocean
