SRR1178359	SRR1178365	SRR1178366	SRR1178367	SRR1178368	SRR1178369	SRR1178370	SRR1178360	SRR1178371	SRR1178372	SRR1178361	SRR1178362	SRR1178363	SRR1178364
ASV.104	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ASV.105	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.106	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ASV.107	0	0	0	0	0	0	0	0	12	0	0	0	0	0
ASV.108	0	0	0	0	0	0	0	0	0	0	12	0	0	0
ASV.109	0	11	0	0	0	0	0	0	0	0	0	0	0	0
ASV.110	0	0	0	0	0	0	0	11	0	0	0	0	0	0
ASV.111	0	0	0	0	0	0	0	0	11	0	0	0	0	0
ASV.113	0	0	0	0	0	10	0	0	0	0	0	0	0	0
ASV.114	0	0	0	0	0	0	0	10	0	0	0	0	0	0
ASV.115	0	0	0	0	0	0	0	0	0	0	0	10	0	0
ASV.116	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ASV.117	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.118	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV.119	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV.120	0	0	0	0	0	0	0	9	0	0	0	0	0	0
ASV.121	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV.123	0	0	0	0	0	0	0	0	0	0	9	0	0	0
ASV.125	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ASV.126	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ASV.127	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ASV.129	0	0	0	0	0	8	0	0	0	0	0	0	0	0
ASV.130	0	0	0	0	0	8	0	0	0	0	0	0	0	0
ASV.131	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV.132	0	0	0	0	0	0	0	8	0	0	0	0	0	0
ASV.133	0	0	0	0	0	0	0	8	0	0	0	0	0	0
ASV.134	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ASV.135	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ASV.136	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ASV.137	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV.138	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ASV.140	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ASV.141	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ASV.142	0	0	0	0	0	0	0	0	7	0	0	0	0	0
ASV.145	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ASV.146	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ASV.147	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV.148	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV.149	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV.150	0	0	0	0	0	0	0	6	0	0	0	0	0	0
ASV.151	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV.152	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV.153	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV.154	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV.155	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV.156	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV.157	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ASV.162	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ASV.163	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ASV.164	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV.165	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV.167	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV.168	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV.169	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV.170	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV.173	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV.174	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.175	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.178	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV.181	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV.183	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV.184	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV.186	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV.189	0	0	0	0	2	0	0	0	0	0	0	0	0	0
