asvLen	totReads	numSamps
ASV.98	328	159	4
ASV.99	328	159	3
ASV.100	328	159	1
ASV.101	325	150	2
ASV.102	328	148	5
ASV.103	328	147	2
ASV.104	328	145	2
ASV.105	328	142	1
ASV.106	328	141	3
ASV.107	328	140	1
ASV.108	328	139	1
ASV.109	328	138	2
ASV.110	328	138	1
ASV.111	325	136	1
ASV.112	328	135	1
ASV.113	328	134	1
ASV.114	328	133	4
ASV.115	328	133	3
ASV.116	328	133	1
ASV.117	328	132	5
ASV.118	328	132	1
ASV.119	328	132	1
ASV.121	364	130	2
ASV.122	328	130	1
ASV.123	322	129	1
ASV.124	328	123	1
ASV.125	328	118	4
ASV.126	328	118	1
ASV.127	325	117	3
ASV.128	328	115	1
ASV.129	328	113	2
ASV.130	328	113	4
ASV.132	325	110	1
ASV.133	328	108	1
ASV.134	328	107	2
ASV.135	328	107	1
ASV.136	328	106	1
ASV.137	328	105	1
ASV.138	328	104	1
ASV.139	328	103	1
ASV.140	328	102	2
ASV.141	328	101	1
ASV.142	328	101	1
ASV.143	328	99	3
ASV.144	328	97	1
ASV.145	328	97	2
ASV.146	328	96	1
ASV.147	328	96	1
ASV.148	328	95	1
ASV.149	328	94	1
ASV.150	328	92	1
ASV.151	328	92	2
ASV.152	328	92	1
ASV.153	328	91	1
ASV.154	328	91	1
ASV.155	328	91	2
ASV.156	328	90	1
ASV.157	328	88	1
ASV.158	325	88	1
ASV.159	328	87	1
ASV.160	328	85	1
ASV.161	328	85	1
ASV.162	328	84	1
ASV.163	328	82	1
ASV.164	325	80	1
ASV.165	328	79	1
ASV.166	328	77	4
ASV.167	328	77	1
ASV.168	364	74	1
ASV.169	328	72	1
ASV.170	328	72	1
ASV.171	328	72	1
ASV.172	328	72	2
ASV.173	328	71	2
ASV.174	328	71	1
ASV.175	328	70	2
ASV.176	328	69	2
ASV.177	328	68	2
ASV.178	328	68	1
ASV.179	328	68	1
ASV.180	328	68	1
ASV.181	328	67	1
ASV.182	328	66	1
ASV.183	328	66	1
ASV.184	328	65	1
ASV.185	328	65	1
ASV.186	328	65	2
ASV.187	328	65	1
ASV.188	328	65	1
ASV.189	328	64	1
ASV.190	328	64	1
ASV.191	328	64	1
ASV.192	328	64	1
ASV.193	328	63	1
ASV.194	328	61	1
ASV.195	328	61	1
ASV.196	334	61	1
ASV.197	328	60	2
ASV.198	328	60	1
ASV.199	334	60	1
ASV.200	322	59	1
ASV.201	328	58	1
ASV.202	328	58	1
ASV.203	328	58	1
ASV.204	328	58	1
ASV.205	328	58	1
ASV.206	328	58	1
ASV.207	325	57	1
ASV.208	328	56	1
ASV.209	328	56	1
ASV.210	328	56	2
ASV.211	328	55	1
ASV.213	328	55	1
ASV.215	328	55	1
ASV.216	328	54	1
ASV.217	328	53	1
ASV.218	328	53	1
ASV.219	328	52	3
ASV.220	328	52	1
ASV.221	328	52	2
ASV.222	328	52	1
ASV.223	325	51	1
ASV.224	328	50	1
ASV.225	328	50	1
ASV.226	328	49	1
ASV.227	328	49	1
ASV.228	328	49	1
ASV.229	325	49	1
ASV.230	328	48	1
ASV.231	328	48	1
ASV.232	328	48	1
ASV.233	328	46	1
ASV.234	328	45	2
ASV.235	328	45	1
ASV.236	328	45	1
ASV.237	328	45	1
ASV.238	328	45	1
ASV.239	328	45	1
ASV.240	328	45	1
ASV.241	328	44	1
ASV.242	328	44	1
ASV.243	328	44	1
ASV.244	328	44	1
ASV.245	328	44	1
ASV.246	328	43	2
ASV.247	328	43	1
ASV.248	328	43	1
ASV.250	325	42	1
ASV.251	328	42	1
ASV.252	328	42	1
ASV.253	328	42	1
ASV.254	328	42	4
ASV.255	328	42	1
ASV.256	328	42	1
ASV.257	328	42	1
ASV.258	328	41	1
ASV.259	328	41	1
ASV.260	328	41	1
ASV.261	328	40	1
ASV.262	328	40	1
ASV.263	328	40	1
ASV.264	328	40	1
ASV.265	328	40	1
ASV.266	328	40	1
ASV.267	328	40	1
ASV.268	322	39	1
ASV.269	328	39	1
