asvLen	totReads	numSamps
ASV.369	328	4552	42
ASV.370	328	4546	25
ASV.371	328	4470	12
ASV.372	328	4434	32
ASV.373	328	4394	55
ASV.374	328	4393	48
ASV.375	328	4389	26
ASV.376	328	4386	4
ASV.377	328	4372	3
ASV.378	328	4357	8
ASV.379	328	4343	53
ASV.380	328	4303	13
ASV.381	328	4268	37
ASV.382	328	4247	19
ASV.383	328	4222	43
ASV.384	328	4220	42
ASV.385	328	4211	6
ASV.386	328	4209	44
ASV.387	328	4202	7
ASV.388	328	4195	33
ASV.389	328	4182	35
ASV.390	328	4174	32
ASV.391	328	4146	16
ASV.392	328	4125	34
ASV.394	328	4103	41
ASV.395	328	4096	11
ASV.396	328	4082	32
ASV.397	328	4062	2
ASV.398	328	4049	10
ASV.399	328	4048	44
ASV.400	324	4047	27
ASV.401	328	4033	4
ASV.402	328	4029	33
ASV.403	328	4024	20
ASV.404	328	4013	3
ASV.405	328	4009	3
ASV.406	328	3994	9
ASV.407	327	3988	30
ASV.408	328	3980	37
ASV.409	328	3969	33
ASV.410	328	3962	50
ASV.411	328	3950	10
ASV.412	328	3941	3
ASV.413	328	3938	18
ASV.414	328	3925	61
ASV.415	328	3910	34
ASV.416	328	3907	18
ASV.417	328	3904	5
ASV.419	328	3895	15
ASV.420	328	3882	29
ASV.422	328	3851	49
ASV.423	328	3831	37
ASV.424	295	3811	63
ASV.425	328	3796	2
ASV.426	328	3790	49
ASV.427	328	3786	33
ASV.428	328	3773	28
ASV.429	328	3754	11
ASV.430	328	3750	16
ASV.431	328	3738	6
ASV.432	328	3729	14
ASV.433	328	3725	34
ASV.434	327	3723	32
ASV.435	328	3721	9
ASV.436	328	3720	13
ASV.438	328	3718	37
ASV.439	328	3687	26
ASV.440	328	3665	21
ASV.441	328	3646	3
ASV.442	328	3639	21
ASV.443	328	3631	37
ASV.444	325	3621	33
ASV.445	328	3620	24
ASV.446	328	3593	2
ASV.447	328	3578	34
ASV.448	328	3564	43
ASV.449	295	3561	58
ASV.450	328	3550	13
ASV.451	328	3544	23
ASV.452	328	3504	24
ASV.453	328	3504	2
ASV.454	328	3498	16
ASV.455	328	3495	2
ASV.456	328	3488	7
ASV.457	328	3478	7
ASV.459	328	3460	31
ASV.460	328	3435	25
ASV.461	328	3426	32
ASV.462	328	3394	20
ASV.463	328	3380	2
ASV.464	328	3371	11
ASV.465	328	3351	41
ASV.466	328	3351	32
ASV.467	328	3333	41
ASV.468	328	3332	38
ASV.469	328	3325	21
ASV.470	328	3324	30
ASV.471	328	3319	30
ASV.472	328	3318	24
ASV.473	328	3315	53
ASV.474	328	3303	28
ASV.475	328	3298	20
ASV.476	328	3290	6
ASV.477	256	3285	54
ASV.478	328	3281	21
ASV.479	327	3279	25
ASV.480	328	3275	37
ASV.482	328	3252	5
ASV.483	328	3249	1
ASV.484	328	3248	6
ASV.485	328	3211	2
ASV.486	328	3196	1
ASV.487	328	3193	5
ASV.488	328	3175	40
ASV.489	316	3143	45
ASV.490	328	3143	11
ASV.492	328	3126	32
ASV.494	328	3096	13
ASV.495	328	3095	43
ASV.496	328	3088	35
ASV.497	328	3082	33
ASV.498	328	3079	3
ASV.500	328	3058	2
ASV.501	328	3036	7
ASV.502	328	3032	28
ASV.503	328	3024	5
ASV.504	328	3018	33
ASV.505	325	3012	34
ASV.506	328	3006	22
ASV.507	328	2999	2
ASV.508	328	2973	47
ASV.509	328	2968	26
ASV.511	328	2954	4
ASV.512	328	2953	3
ASV.513	295	2952	45
ASV.514	327	2952	15
ASV.515	328	2949	2
ASV.516	328	2935	27
ASV.517	328	2927	23
ASV.519	319	2919	1
ASV.520	328	2908	18
ASV.521	328	2903	38
ASV.522	328	2902	23
ASV.523	328	2895	12
ASV.524	328	2894	1
ASV.525	328	2890	38
ASV.526	328	2881	32
ASV.527	328	2881	12
ASV.528	328	2880	15
ASV.529	328	2878	32
ASV.530	328	2876	2
ASV.531	328	2868	12
ASV.532	328	2864	2
ASV.533	328	2832	16
ASV.534	328	2828	15
ASV.535	328	2827	4
ASV.536	328	2826	1
ASV.537	328	2825	38
ASV.538	328	2804	22
ASV.539	328	2796	14
ASV.540	328	2794	2
ASV.541	328	2788	2
ASV.542	328	2785	39
ASV.543	328	2780	2
ASV.544	328	2776	4
ASV.545	328	2763	4
ASV.546	328	2757	2
ASV.547	328	2752	31
ASV.549	328	2742	18
ASV.551	328	2736	18
ASV.552	327	2724	29
ASV.553	328	2721	16
ASV.554	328	2720	24
ASV.555	328	2706	27
ASV.556	328	2706	46
ASV.557	328	2696	39
ASV.558	328	2693	25
ASV.560	328	2688	3
ASV.561	328	2684	1
ASV.562	328	2679	44
ASV.563	328	2674	30
ASV.564	328	2668	27
ASV.566	328	2652	18
ASV.567	328	2650	33
ASV.568	328	2647	15
ASV.569	328	2646	8
ASV.570	328	2645	9
ASV.571	328	2641	42
ASV.572	328	2640	3
ASV.573	328	2625	1
ASV.574	328	2623	21
ASV.575	328	2613	29
ASV.576	328	2608	3
ASV.577	327	2605	20
ASV.578	328	2603	3
ASV.579	328	2592	14
ASV.580	328	2571	3
ASV.581	328	2566	21
ASV.582	328	2565	23
ASV.583	328	2565	2
ASV.584	328	2562	28
ASV.585	328	2561	2
ASV.586	328	2558	24
ASV.587	328	2551	11
ASV.588	328	2549	12
ASV.589	328	2548	11
