SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.312	0	0	0	0	0	0	0	0	0	109	0	0	0	0
ASV.314	0	0	0	0	0	0	0	0	0	0	0	0	0	109
ASV.316	0	0	0	0	0	0	108	0	0	0	0	0	0	0
ASV.317	0	0	0	0	0	0	0	0	0	0	0	0	0	108
ASV.320	0	0	0	0	0	106	0	0	0	0	0	0	0	0
ASV.321	0	0	0	0	0	0	0	0	0	105	0	0	0	0
ASV.322	0	0	0	0	0	0	104	0	0	0	0	0	0	0
ASV.325	0	0	0	103	0	0	0	0	0	0	0	0	0	0
ASV.331	0	0	0	0	0	0	0	101	0	0	0	0	0	0
ASV.333	0	0	0	65	0	0	0	35	0	0	0	0	0	0
ASV.335	0	0	0	0	0	0	0	100	0	0	0	0	0	0
ASV.336	0	0	0	0	0	0	0	100	0	0	0	0	0	0
ASV.338	0	0	0	0	0	19	0	0	0	0	0	0	0	80
ASV.339	0	0	0	0	0	0	0	98	0	0	0	0	0	0
ASV.341	0	0	0	0	0	53	0	0	0	0	0	0	0	44
ASV.342	0	0	0	0	0	0	0	0	0	0	0	0	0	97
ASV.344	0	0	0	0	0	0	0	95	0	0	0	0	0	0
ASV.347	0	0	0	0	0	94	0	0	0	0	0	0	0	0
ASV.348	0	0	0	0	0	94	0	0	0	0	0	0	0	0
ASV.349	0	0	0	0	0	0	0	0	0	94	0	0	0	0
ASV.350	0	0	0	0	0	0	0	0	0	93	0	0	0	0
ASV.355	0	0	0	0	0	0	0	91	0	0	0	0	0	0
ASV.356	0	0	0	0	0	0	0	0	0	0	0	0	0	91
ASV.357	19	10	0	0	0	0	0	0	35	0	22	4	0	0
ASV.359	0	0	0	0	0	89	0	0	0	0	0	0	0	0
ASV.360	0	0	0	0	0	57	0	28	0	0	0	4	0	0
ASV.361	0	0	0	0	0	89	0	0	0	0	0	0	0	0
ASV.363	0	0	0	0	0	0	0	0	0	0	0	89	0	0
ASV.367	0	0	0	0	0	0	26	61	0	0	0	0	0	0
ASV.368	86	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.369	0	0	0	50	0	0	0	0	34	2	0	0	0	0
ASV.370	0	0	0	4	0	0	0	0	70	0	12	0	0	0
ASV.374	0	0	0	0	0	0	0	0	0	0	0	0	0	86
ASV.375	0	0	0	0	0	0	0	85	0	0	0	0	0	0
ASV.376	0	0	0	0	0	0	0	0	0	85	0	0	0	0
ASV.377	0	0	0	62	0	14	0	8	0	0	0	0	0	0
ASV.378	0	0	0	0	0	62	0	0	0	22	0	0	0	0
ASV.382	0	0	0	0	0	83	0	0	0	0	0	0	0	0
ASV.384	0	0	0	0	0	0	0	0	0	83	0	0	0	0
ASV.387	0	0	0	0	0	0	0	0	0	82	0	0	0	0
ASV.396	0	0	0	0	0	0	0	79	0	0	0	0	0	0
ASV.399	0	0	0	0	0	78	0	0	0	0	0	0	0	0
ASV.401	0	0	0	0	0	0	0	78	0	0	0	0	0	0
ASV.402	0	0	0	0	0	0	0	0	0	78	0	0	0	0
ASV.403	0	0	0	0	0	0	0	0	0	0	0	78	0	0
ASV.404	0	0	0	0	0	0	0	0	0	0	0	0	0	78
ASV.407	0	0	0	0	0	77	0	0	0	0	0	0	0	0
ASV.410	0	0	0	0	0	0	0	0	66	0	10	0	0	0
ASV.413	0	0	0	0	0	75	0	0	0	0	0	0	0	0
ASV.414	0	0	0	0	0	64	0	11	0	0	0	0	0	0
ASV.415	0	0	0	0	0	0	0	75	0	0	0	0	0	0
ASV.416	0	0	0	0	0	0	0	0	0	75	0	0	0	0
ASV.419	0	0	0	71	0	0	0	3	0	0	0	0	0	0
ASV.420	0	0	0	0	0	0	0	74	0	0	0	0	0	0
ASV.423	0	73	0	0	0	0	0	0	0	0	0	0	0	0
ASV.424	0	0	0	0	0	73	0	0	0	0	0	0	0	0
ASV.427	0	0	0	0	0	0	0	73	0	0	0	0	0	0
ASV.431	0	0	0	71	0	0	0	0	0	0	0	0	0	0
ASV.433	61	0	0	6	0	0	0	0	0	0	0	0	0	3
ASV.434	0	0	0	0	0	70	0	0	0	0	0	0	0	0
ASV.435	0	0	0	0	0	70	0	0	0	0	0	0	0	0
ASV.436	0	0	0	0	0	0	0	70	0	0	0	0	0	0
ASV.437	0	0	0	0	0	0	0	70	0	0	0	0	0	0
ASV.439	0	33	0	36	0	0	0	0	0	0	0	0	0	0
ASV.440	0	69	0	0	0	0	0	0	0	0	0	0	0	0
ASV.445	0	0	0	0	0	0	0	69	0	0	0	0	0	0
ASV.448	0	0	0	0	0	0	0	0	0	68	0	0	0	0
ASV.452	0	0	0	0	0	0	0	67	0	0	0	0	0	0
ASV.453	0	0	0	0	0	0	0	0	0	0	0	0	0	67
ASV.456	0	0	0	66	0	0	0	0	0	0	0	0	0	0
ASV.457	0	0	0	0	0	66	0	0	0	0	0	0	0	0
ASV.458	0	0	0	0	0	0	0	66	0	0	0	0	0	0
ASV.459	0	0	0	0	0	0	0	0	0	66	0	0	0	0
ASV.460	0	0	0	0	0	65	0	0	0	0	0	0	0	0
ASV.461	0	0	0	0	0	65	0	0	0	0	0	0	0	0
ASV.462	0	0	0	0	0	65	0	0	0	0	0	0	0	0
ASV.463	0	0	0	0	0	0	0	65	0	0	0	0	0	0
ASV.465	0	0	0	0	0	0	0	65	0	0	0	0	0	0
ASV.466	0	0	0	0	0	0	0	0	0	65	0	0	0	0
ASV.467	0	0	0	0	0	0	0	0	0	65	0	0	0	0
ASV.472	0	0	0	0	0	63	0	0	0	0	0	0	0	0
ASV.474	0	0	0	0	0	0	0	63	0	0	0	0	0	0
ASV.476	0	0	0	0	0	0	0	0	0	63	0	0	0	0
ASV.477	0	0	0	0	0	0	0	0	0	63	0	0	0	0
ASV.485	0	0	0	0	0	0	0	35	0	0	0	0	0	27
ASV.486	14	0	0	0	0	0	0	0	47	0	0	0	0	0
ASV.489	0	0	0	0	0	25	0	36	0	0	0	0	0	0
ASV.491	0	0	0	0	0	0	0	0	0	61	0	0	0	0
ASV.493	0	0	0	3	0	0	0	0	46	0	11	0	0	0
ASV.494	0	0	0	0	0	60	0	0	0	0	0	0	0	0
ASV.495	0	0	0	0	0	0	0	0	0	60	0	0	0	0
ASV.497	0	0	0	0	0	0	0	0	0	60	0	0	0	0
ASV.499	0	0	0	0	0	0	0	0	0	0	0	0	0	60
