asvLen	totReads	numSamps
ASV.745	325	35	1
ASV.747	328	35	1
ASV.751	325	35	1
ASV.752	313	34	4
ASV.753	258	34	3
ASV.754	328	34	1
ASV.758	328	34	1
ASV.762	325	34	1
ASV.764	328	34	1
ASV.765	325	34	1
ASV.767	343	33	2
ASV.777	328	33	1
ASV.778	328	33	1
ASV.780	325	33	1
ASV.781	325	33	1
ASV.782	322	33	1
ASV.783	358	33	1
ASV.787	328	33	1
ASV.788	357	32	2
ASV.799	328	32	1
ASV.801	328	32	1
ASV.805	328	32	1
ASV.811	248	31	2
ASV.815	325	31	1
ASV.816	328	31	1
ASV.818	328	31	1
ASV.819	325	31	1
ASV.821	322	31	1
ASV.823	328	31	1
ASV.826	343	30	4
ASV.830	286	30	2
ASV.835	325	30	1
ASV.839	286	30	1
ASV.841	328	30	1
ASV.846	328	30	1
ASV.847	343	29	1
ASV.854	328	29	1
ASV.857	325	29	1
ASV.875	328	28	1
ASV.877	328	28	1
ASV.880	325	28	1
ASV.881	325	28	1
ASV.882	287	28	2
ASV.883	314	28	2
ASV.884	328	28	1
ASV.888	354	27	2
ASV.897	328	27	1
ASV.898	259	27	1
ASV.899	361	27	1
ASV.902	325	27	1
ASV.909	328	26	1
ASV.924	328	26	3
ASV.927	322	26	1
ASV.928	322	26	1
ASV.929	322	26	1
ASV.930	322	26	1
ASV.931	305	26	1
ASV.932	300	26	1
ASV.933	331	26	1
ASV.934	328	26	1
ASV.935	328	26	1
ASV.941	343	25	2
ASV.942	304	25	2
ASV.943	245	25	1
ASV.944	285	25	2
ASV.946	328	25	1
ASV.949	322	25	2
ASV.951	325	25	1
ASV.952	328	25	1
ASV.970	328	24	1
ASV.972	328	24	2
ASV.977	328	24	1
ASV.978	328	24	1
ASV.981	325	24	1
ASV.985	245	23	2
ASV.991	328	23	1
ASV.994	328	23	1
ASV.997	328	23	1
ASV.1011	328	22	1
ASV.1014	325	22	1
ASV.1018	258	22	1
ASV.1026	325	22	1
ASV.1029	245	21	2
ASV.1038	325	21	1
ASV.1041	328	21	1
ASV.1042	325	21	1
ASV.1043	328	21	1
ASV.1044	328	21	1
ASV.1045	325	21	1
ASV.1046	322	21	1
ASV.1047	328	21	1
ASV.1051	328	21	1
ASV.1054	325	21	1
ASV.1056	328	21	1
ASV.1060	295	20	3
ASV.1075	325	20	1
ASV.1076	325	20	1
ASV.1077	325	20	1
ASV.1078	325	20	1
ASV.1079	328	20	1
ASV.1080	364	20	1
ASV.1083	325	20	1
ASV.1087	245	20	2
ASV.1088	328	20	1
ASV.1090	328	20	1
ASV.1092	325	20	1
ASV.1098	244	19	2
ASV.1120	328	19	1
ASV.1121	328	19	1
ASV.1122	328	19	1
ASV.1124	322	19	1
ASV.1125	325	19	1
ASV.1126	328	19	1
ASV.1131	364	19	1
ASV.1133	325	19	1
ASV.1138	245	18	1
ASV.1148	328	18	1
ASV.1150	364	18	2
ASV.1152	334	18	1
ASV.1154	328	18	1
ASV.1155	325	18	1
ASV.1160	321	18	1
ASV.1161	289	18	1
ASV.1169	325	18	1
ASV.1171	328	18	1
ASV.1172	328	18	1
ASV.1173	325	18	1
ASV.1175	233	17	3
ASV.1176	367	17	2
ASV.1177	296	17	1
ASV.1179	220	17	3
ASV.1188	328	17	1
ASV.1189	325	17	1
ASV.1196	328	17	1
ASV.1198	325	17	2
ASV.1199	325	17	1
ASV.1201	328	17	1
ASV.1206	285	17	2
ASV.1207	350	17	1
ASV.1213	328	17	1
ASV.1214	322	17	1
ASV.1215	328	17	1
ASV.1228	325	17	1
ASV.1231	290	16	2
ASV.1232	328	16	1
ASV.1249	325	16	1
ASV.1250	325	16	1
ASV.1251	325	16	1
ASV.1253	325	16	1
ASV.1254	328	16	1
ASV.1255	328	16	1
ASV.1259	297	16	2
ASV.1260	280	16	1
ASV.1264	328	16	1
ASV.1270	317	15	3
ASV.1281	325	15	1
ASV.1283	328	15	1
ASV.1285	328	15	1
ASV.1291	325	15	2
ASV.1292	328	15	1
ASV.1296	325	15	1
ASV.1300	325	15	1
ASV.1301	325	15	1
ASV.1303	337	15	1
ASV.1307	328	15	1
ASV.1312	325	15	1
ASV.1316	309	14	3
ASV.1318	252	14	3
ASV.1319	346	14	2
ASV.1320	312	14	1
ASV.1321	303	14	1
ASV.1338	364	14	1
ASV.1340	322	14	1
ASV.1345	322	14	1
ASV.1347	325	14	1
ASV.1355	325	14	1
ASV.1358	328	14	1
ASV.1360	328	14	1
ASV.1368	199	13	2
ASV.1378	328	13	1
ASV.1379	328	13	1
ASV.1386	325	13	1
ASV.1391	328	13	1
ASV.1392	328	13	1
ASV.1394	325	13	1
ASV.1395	328	13	1
ASV.1396	328	13	2
ASV.1404	325	13	1
ASV.1405	325	13	1
ASV.1410	328	13	1
ASV.1411	328	13	1
ASV.1414	336	13	1
ASV.1415	241	13	1
ASV.1418	303	13	1
ASV.1419	302	13	1
ASV.1420	328	13	1
ASV.1428	325	13	1
ASV.1429	328	13	1
ASV.1430	328	13	1
ASV.1435	364	13	1
ASV.1439	256	12	1
ASV.1463	328	12	1
ASV.1469	328	12	1
ASV.1482	325	12	1
ASV.1484	328	12	1
ASV.1485	341	12	1
ASV.1486	198	12	1
ASV.1487	325	12	1
ASV.1491	328	12	1
ASV.1492	328	12	1
ASV.1494	328	12	1
ASV.1497	328	12	1
ASV.1498	328	12	1
ASV.1508	271	11	3
ASV.1509	238	11	1
ASV.1511	299	11	2
ASV.1514	321	11	1
ASV.1515	294	11	1
ASV.1536	328	11	1
ASV.1537	364	11	2
ASV.1538	328	11	1
ASV.1541	325	11	1
ASV.1550	325	11	1
ASV.1551	328	11	1
ASV.1554	331	11	2
ASV.1555	328	11	1
ASV.1556	328	11	1
ASV.1557	325	11	1
ASV.1567	325	11	1
ASV.1569	325	11	1
ASV.1572	364	11	1
ASV.1574	325	11	1
ASV.1576	279	10	1
ASV.1577	258	10	1
ASV.1605	328	10	1
ASV.1607	364	10	1
ASV.1608	322	10	1
ASV.1609	364	10	1
ASV.1613	325	10	1
ASV.1624	325	10	1
ASV.1626	322	10	1
ASV.1628	221	10	1
ASV.1629	306	10	1
ASV.1631	292	10	1
ASV.1635	328	10	1
ASV.1639	364	10	1
ASV.1640	325	10	1
ASV.1641	234	10	1
ASV.1642	292	10	1
ASV.1657	335	9	1
ASV.1664	248	9	2
ASV.1665	289	9	1
ASV.1666	219	9	2
ASV.1667	285	9	1
ASV.1671	285	9	1
ASV.1679	354	9	2
ASV.1694	325	9	1
ASV.1702	325	9	1
ASV.1705	325	9	1
ASV.1713	328	9	1
ASV.1717	322	9	2
ASV.1718	316	9	1
ASV.1719	203	9	1
ASV.1720	339	9	1
ASV.1721	361	9	1
ASV.1722	364	9	2
ASV.1723	366	9	2
ASV.1724	328	9	1
ASV.1725	328	9	1
ASV.1726	325	9	1
ASV.1727	328	9	1
ASV.1733	364	9	1
ASV.1734	364	9	1
ASV.1735	283	9	1
ASV.1739	325	9	1
ASV.1745	320	8	1
ASV.1746	246	8	1
ASV.1747	325	8	1
ASV.1752	253	8	1
ASV.1753	261	8	1
ASV.1754	308	8	2
ASV.1755	304	8	1
ASV.1758	325	8	1
ASV.1760	325	8	2
ASV.1766	369	8	1
ASV.1771	328	8	1
ASV.1783	325	8	1
ASV.1786	328	8	1
ASV.1788	358	8	1
ASV.1795	325	8	1
ASV.1801	322	8	1
ASV.1802	322	8	1
ASV.1810	328	8	1
ASV.1812	328	8	1
ASV.1813	363	8	1
ASV.1814	268	8	1
ASV.1815	246	8	1
ASV.1816	288	8	1
ASV.1817	292	8	1
ASV.1818	292	8	1
ASV.1819	325	8	1
ASV.1820	328	8	1
ASV.1821	328	8	1
ASV.1823	325	8	1
ASV.1824	325	8	1
ASV.1826	364	8	1
ASV.1830	286	8	1
ASV.1845	289	7	1
ASV.1846	314	7	1
ASV.1847	347	7	1
ASV.1849	331	7	1
ASV.1850	266	7	1
ASV.1851	338	7	1
ASV.1852	198	7	1
ASV.1858	300	7	1
ASV.1891	328	7	1
ASV.1893	364	7	1
ASV.1899	325	7	1
ASV.1901	325	7	1
ASV.1902	322	7	1
ASV.1916	325	7	1
ASV.1917	347	7	1
ASV.1918	347	7	1
ASV.1919	310	7	1
ASV.1920	244	7	1
ASV.1921	273	7	2
ASV.1922	299	7	1
ASV.1923	328	7	1
ASV.1925	328	7	1
ASV.1926	328	7	1
ASV.1927	328	7	1
ASV.1928	328	7	1
ASV.1931	322	7	1
ASV.1932	364	7	1
ASV.1933	328	7	1
ASV.1934	334	7	1
ASV.1937	328	7	1
ASV.1947	325	7	1
ASV.1949	328	7	1
ASV.1953	325	7	1
ASV.1955	258	6	1
ASV.1956	260	6	1
ASV.1957	365	6	1
ASV.1958	200	6	1
ASV.1959	345	6	1
ASV.1960	254	6	1
ASV.1961	242	6	1
ASV.1962	328	6	1
ASV.1967	361	6	1
ASV.1968	316	6	1
ASV.1969	306	6	1
ASV.1974	303	6	1
ASV.1975	256	6	1
ASV.1990	325	6	1
ASV.2004	325	6	1
ASV.2006	364	6	1
ASV.2007	328	6	1
ASV.2009	328	6	1
ASV.2010	319	6	1
ASV.2012	328	6	1
ASV.2017	325	6	1
ASV.2022	328	6	1
ASV.2024	325	6	1
ASV.2038	325	6	1
ASV.2044	261	6	1
ASV.2045	314	6	1
ASV.2046	283	6	1
ASV.2047	301	6	1
ASV.2048	266	6	1
ASV.2049	289	6	1
ASV.2050	312	6	1
ASV.2051	307	6	1
ASV.2052	268	6	1
ASV.2057	322	6	1
ASV.2058	343	6	1
ASV.2059	319	6	1
ASV.2060	280	6	2
ASV.2061	220	6	1
ASV.2062	315	6	1
ASV.2063	210	6	1
ASV.2064	289	6	1
ASV.2065	337	6	1
ASV.2066	333	6	1
ASV.2067	226	6	1
ASV.2075	328	6	1
ASV.2084	274	6	1
ASV.2085	328	6	1
ASV.2097	328	6	1
ASV.2101	325	6	1
ASV.2104	259	5	1
ASV.2105	227	5	1
ASV.2106	278	5	1
ASV.2107	355	5	1
ASV.2109	368	5	1
ASV.2110	295	5	1
ASV.2111	316	5	1
ASV.2112	343	5	1
ASV.2113	332	5	1
ASV.2114	353	5	1
ASV.2115	316	5	1
ASV.2116	303	5	1
ASV.2117	285	5	1
ASV.2118	280	5	1
ASV.2119	274	5	1
ASV.2141	219	5	1
ASV.2145	327	5	1
ASV.2146	328	5	1
ASV.2153	328	5	1
ASV.2154	328	5	1
ASV.2169	322	5	1
ASV.2170	328	5	1
ASV.2175	325	5	1
ASV.2180	328	5	1
ASV.2182	328	5	1
ASV.2194	325	5	1
ASV.2202	325	5	1
ASV.2204	328	5	1
ASV.2207	328	5	1
ASV.2210	285	5	1
ASV.2211	256	5	1
ASV.2212	341	5	1
ASV.2213	315	5	1
ASV.2214	366	5	1
ASV.2215	340	5	1
ASV.2216	316	5	1
ASV.2217	347	5	1
ASV.2218	277	5	1
ASV.2219	364	5	1
ASV.2220	255	5	2
ASV.2221	328	5	1
ASV.2222	360	5	1
ASV.2223	253	5	1
ASV.2224	270	5	1
ASV.2225	306	5	1
ASV.2226	262	5	1
ASV.2227	208	5	1
ASV.2231	271	5	1
ASV.2232	256	5	1
ASV.2233	329	5	1
