asvLen	totReads	numSamps
ASV.547	325	599	1
ASV.548	325	599	1
ASV.550	322	594	4
ASV.551	322	594	7
ASV.552	325	593	1
ASV.553	325	592	2
ASV.554	325	592	1
ASV.555	325	592	1
ASV.556	234	590	1
ASV.557	322	587	1
ASV.558	325	586	1
ASV.561	290	584	6
ASV.564	274	581	1
ASV.565	325	580	1
ASV.566	328	579	1
ASV.567	304	577	7
ASV.569	214	576	1
ASV.570	328	572	1
ASV.571	328	571	1
ASV.572	325	568	1
ASV.573	328	568	1
ASV.575	328	566	2
ASV.579	328	554	3
ASV.580	328	553	1
ASV.581	325	549	1
ASV.582	328	546	1
ASV.583	328	544	1
ASV.584	245	544	6
ASV.585	298	544	1
ASV.587	279	543	5
ASV.588	275	542	1
ASV.589	250	542	1
ASV.591	328	540	1
ASV.592	307	539	5
ASV.593	328	539	1
ASV.594	289	539	1
ASV.596	325	537	1
ASV.598	328	535	1
ASV.600	325	532	1
ASV.602	328	530	1
ASV.604	221	530	1
ASV.605	328	529	1
ASV.607	268	528	1
ASV.608	325	528	1
ASV.609	325	526	2
ASV.610	303	525	4
ASV.612	346	523	1
ASV.614	328	520	1
ASV.616	325	520	1
ASV.617	325	517	1
ASV.619	328	515	1
ASV.621	328	507	1
ASV.622	325	507	1
ASV.624	328	506	1
ASV.625	325	505	1
ASV.626	280	504	4
ASV.627	328	503	1
ASV.629	328	503	1
ASV.630	262	501	8
ASV.632	328	499	1
ASV.633	328	499	1
ASV.634	328	498	1
ASV.637	328	495	1
ASV.638	325	494	1
ASV.641	322	491	5
ASV.642	325	488	1
ASV.644	328	486	1
ASV.647	217	483	1
ASV.648	328	482	1
ASV.650	260	480	1
ASV.652	328	479	1
ASV.653	328	477	1
ASV.654	328	477	1
ASV.657	271	474	1
ASV.658	325	474	1
ASV.659	328	474	1
ASV.660	325	472	3
ASV.661	325	472	1
ASV.663	328	470	1
ASV.664	325	468	1
ASV.667	325	463	2
ASV.668	302	463	1
ASV.669	322	462	4
ASV.670	325	461	1
ASV.671	325	461	1
ASV.673	325	459	1
ASV.674	325	458	1
ASV.678	325	456	1
ASV.679	231	455	2
ASV.680	328	454	1
ASV.681	249	454	1
ASV.682	328	454	1
ASV.684	328	449	1
ASV.685	325	448	1
ASV.687	227	447	1
ASV.688	331	447	1
ASV.691	259	443	1
ASV.692	353	443	1
ASV.693	254	440	1
ASV.694	328	440	1
ASV.696	328	439	1
ASV.697	328	439	2
ASV.699	280	438	1
ASV.700	235	435	26
ASV.701	328	434	1
ASV.702	243	431	6
ASV.704	331	428	2
ASV.705	325	427	1
ASV.706	328	426	1
ASV.708	328	424	1
ASV.709	325	424	1
ASV.711	328	418	1
ASV.712	328	418	1
ASV.714	325	418	1
ASV.715	325	418	1
ASV.716	271	417	9
ASV.717	325	415	1
ASV.718	325	413	1
ASV.719	328	412	1
ASV.720	328	412	1
ASV.721	328	412	1
ASV.722	328	412	1
ASV.723	262	411	5
ASV.724	285	411	7
