DRR090493	DRR090494	DRR090495	DRR090496	DRR090497	DRR090498	DRR090499	DRR090500	DRR090501	DRR090502	DRR090503	DRR090504	DRR090505	DRR090506	DRR090507	DRR090508	DRR090509	DRR090510	DRR090511	DRR090512
ASV.153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	591
ASV.154	0	0	0	0	0	0	0	0	0	0	0	806	0	0	0	0	0	0	0	0
ASV.155	0	797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	779	0	0	0	0	0
ASV.160	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	114
ASV.161	0	494	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.162	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.163	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	225	384	0	2
ASV.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	735	0	0	0	0	0
ASV.166	333	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	27	0	0	60
ASV.172	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649	0
ASV.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	648	0	0	0
ASV.175	362	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
ASV.179	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0
ASV.182	0	0	0	0	0	0	0	0	622	0	0	0	0	0	0	0	0	0	0	0
ASV.183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	0	192
ASV.184	0	0	596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.185	0	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.186	0	0	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.187	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0
ASV.188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	367
ASV.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	232
ASV.190	0	0	0	0	0	0	0	0	0	0	574	0	0	0	0	0	0	0	0	0
ASV.193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	0	0	0	0
ASV.195	0	0	0	0	0	0	0	0	0	0	0	0	561	0	0	0	0	0	0	0
ASV.198	0	0	0	0	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.199	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	0	0	0	0
ASV.201	0	0	0	0	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.203	0	131	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0
