SampleWF,Sample,Study,tag,ReadsPipeline,ReadsGatherAsvs,ReadsFilterAuids.Rare,ReadsFilterAuids.NonNifH,ReadsFilterAuids.Length
AK2HI.1.no_SRA___X71531,X71531,AK2HI,AK2HI:1:no_SRA, 31287, 30807, 30012, 30004, 29308
AK2HI.1.no_SRA___X71532,X71532,AK2HI,AK2HI:1:no_SRA, 35360, 34686, 34170, 34119, 34105
AK2HI.1.no_SRA___X71533,X71533,AK2HI,AK2HI:1:no_SRA, 26505, 25012, 24791, 24779, 24083
AK2HI.1.no_SRA___X71534,X71534,AK2HI,AK2HI:1:no_SRA, 27668, 26311, 26044, 26044, 19541
AK2HI.1.no_SRA___X71535,X71535,AK2HI,AK2HI:1:no_SRA, 29472, 27966, 27967, 27967, 27936
AK2HI.1.no_SRA___X71536,X71536,AK2HI,AK2HI:1:no_SRA, 31394, 29286, 28864, 28859, 27491
AK2HI.1.no_SRA___X71537,X71537,AK2HI,AK2HI:1:no_SRA, 26698, 26210, 25260, 25223, 24058
AK2HI.1.no_SRA___X71538,X71538,AK2HI,AK2HI:1:no_SRA, 19077, 18321, 17927, 17902, 16882
AK2HI.1.no_SRA___X71539,X71539,AK2HI,AK2HI:1:no_SRA, 26374, 25980, 25980, 25958, 24863
AK2HI.1.no_SRA___X71540,X71540,AK2HI,AK2HI:1:no_SRA, 27472, 27387, 27386, 27386, 27296
AK2HI.1.no_SRA___X71541,X71541,AK2HI,AK2HI:1:no_SRA, 27415, 26141, 26141, 26141, 26110
AK2HI.1.no_SRA___X71542,X71542,AK2HI,AK2HI:1:no_SRA, 38150, 36775, 36775, 36775, 35017
AK2HI.1.no_SRA___X71543,X71543,AK2HI,AK2HI:1:no_SRA, 26869, 26628, 26614, 26609, 21955
AK2HI.1.no_SRA___X71544,X71544,AK2HI,AK2HI:1:no_SRA, 26860, 26001, 25775, 25775, 25775
BentzonTilia_2015.1.SRP038933___SRR1178342,SRR1178342,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,  3277,  3277,  3277,  3277,  3277
BentzonTilia_2015.1.SRP038933___SRR1178343,SRR1178343,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,  4325,  4325,  4325,  4325,  4325
BentzonTilia_2015.1.SRP038933___SRR1178344,SRR1178344,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,     0,     0,     0,     0,     0
BentzonTilia_2015.1.SRP038933___SRR1178379,SRR1178379,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,     0,     0,     0,     0,     0
BentzonTilia_2015.1.SRP038933___SRR1178380,SRR1178380,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,  6547,  6547,  6547,  6547,  6547
BentzonTilia_2015.1.SRP038933___SRR1178381,SRR1178381,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,   410,   410,     0,     0,     0
BentzonTilia_2015.1.SRP038933___SRR1178382,SRR1178382,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,     0,     0,     0,     0,     0
BentzonTilia_2015.1.SRP038933___SRR1178383,SRR1178383,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,   340,   340,     0,     0,     0
BentzonTilia_2015.1.SRP038933___SRR1178384,SRR1178384,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,  2737,  2737,  2737,  2737,  2737
BentzonTilia_2015.1.SRP038933___SRR1178385,SRR1178385,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,  2169,  2169,  2169,  2169,  2169
BentzonTilia_2015.1.SRP038933___SRR1178386,SRR1178386,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,   940,   940,   940,   940,   940
BentzonTilia_2015.1.SRP038933___SRR1178387,SRR1178387,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,     0,     0,     0,     0,     0
BentzonTilia_2015.1.SRP038933___SRR1178388,SRR1178388,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,   364,   364,     0,     0,     0
BentzonTilia_2015.1.SRP038933___SRR1178389,SRR1178389,BentzonTilia_2015,BentzonTilia_2015:1:SRP038933,   192,   192,     0,     0,     0
BentzonTilia_2015.2.SRP038933___SRR1178373,SRR1178373,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,  1446,  1446,   976,   976,   976
BentzonTilia_2015.2.SRP038933___SRR1178374,SRR1178374,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,  1370,  1370,   998,   998,   998
BentzonTilia_2015.2.SRP038933___SRR1178375,SRR1178375,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,   530,   530,   471,   471,   471
BentzonTilia_2015.2.SRP038933___SRR1178376,SRR1178376,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,  1345,  1314,     0,     0,     0
BentzonTilia_2015.2.SRP038933___SRR1178377,SRR1178377,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,   154,   154,     0,     0,     0
BentzonTilia_2015.2.SRP038933___SRR1178378,SRR1178378,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,  1384,  1384,   538,   538,   538
BentzonTilia_2015.2.SRP038933___SRR1178393,SRR1178393,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,   487,   487,     0,     0,     0
BentzonTilia_2015.2.SRP038933___SRR1178394,SRR1178394,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,   459,   459,     0,     0,     0
BentzonTilia_2015.2.SRP038933___SRR1178395,SRR1178395,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,  2651,  2651,  1418,  1418,  1418
BentzonTilia_2015.2.SRP038933___SRR1178396,SRR1178396,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,   670,   504,     0,     0,     0
BentzonTilia_2015.2.SRP038933___SRR1178397,SRR1178397,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,   696,   696,     0,     0,     0
BentzonTilia_2015.2.SRP038933___SRR1178398,SRR1178398,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,   184,   184,     0,     0,     0
BentzonTilia_2015.2.SRP038933___SRR1178399,SRR1178399,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,   771,   771,   384,   384,   384
BentzonTilia_2015.2.SRP038933___SRR1178406,SRR1178406,BentzonTilia_2015,BentzonTilia_2015:2:SRP038933,   472,   443,     0,     0,     0
BentzonTilia_2015.3.SRP038933___SRR1178359,SRR1178359,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,   143,    54,     0,     0,     0
BentzonTilia_2015.3.SRP038933___SRR1178360,SRR1178360,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,  1754,  1719,  1651,  1651,  1651
BentzonTilia_2015.3.SRP038933___SRR1178361,SRR1178361,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,     0,     0,     0,     0,     0
BentzonTilia_2015.3.SRP038933___SRR1178362,SRR1178362,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,  2845,  2838,  2692,  2692,  2692
BentzonTilia_2015.3.SRP038933___SRR1178363,SRR1178363,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,     0,     0,     0,     0,     0
BentzonTilia_2015.3.SRP038933___SRR1178364,SRR1178364,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,     0,     0,     0,     0,     0
BentzonTilia_2015.3.SRP038933___SRR1178365,SRR1178365,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,  1247,  1247,  1247,  1247,  1247
BentzonTilia_2015.3.SRP038933___SRR1178366,SRR1178366,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,  4590,  4590,  4366,  4366,  4366
BentzonTilia_2015.3.SRP038933___SRR1178367,SRR1178367,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,  1324,  1324,  1306,  1306,  1306
BentzonTilia_2015.3.SRP038933___SRR1178368,SRR1178368,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,  5369,  5369,  5329,  5329,  5329
BentzonTilia_2015.3.SRP038933___SRR1178369,SRR1178369,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,     0,     0,     0,     0,     0
BentzonTilia_2015.3.SRP038933___SRR1178370,SRR1178370,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,   847,   834,   820,   820,   820
BentzonTilia_2015.3.SRP038933___SRR1178371,SRR1178371,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,  2942,  2942,  2743,  2743,  2743
BentzonTilia_2015.3.SRP038933___SRR1178372,SRR1178372,BentzonTilia_2015,BentzonTilia_2015:3:SRP038933,  3086,  3078,  2935,  2935,  2935
BentzonTilia_2015.4.SRP038933___SRR1178345,SRR1178345,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,  6100,  6100,  5984,  5984,  5984
BentzonTilia_2015.4.SRP038933___SRR1178346,SRR1178346,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,  5197,  5178,  4156,  4156,  4156
BentzonTilia_2015.4.SRP038933___SRR1178347,SRR1178347,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,   552,   552,   168,   168,   168
BentzonTilia_2015.4.SRP038933___SRR1178348,SRR1178348,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,  2622,  2622,  1193,  1193,  1193
BentzonTilia_2015.4.SRP038933___SRR1178349,SRR1178349,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,   966,   953,   296,   296,   296
BentzonTilia_2015.4.SRP038933___SRR1178350,SRR1178350,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,   492,   492,     0,     0,     0
BentzonTilia_2015.4.SRP038933___SRR1178351,SRR1178351,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,  4254,  4254,  4203,  4203,  4203
BentzonTilia_2015.4.SRP038933___SRR1178352,SRR1178352,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,  4333,  4320,  4200,  4200,  4200
BentzonTilia_2015.4.SRP038933___SRR1178353,SRR1178353,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,  3746,  3746,  3746,  3746,  3746
BentzonTilia_2015.4.SRP038933___SRR1178354,SRR1178354,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,  4459,  4459,  4451,  4451,  4451
BentzonTilia_2015.4.SRP038933___SRR1178355,SRR1178355,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,  2886,  2886,  2780,  2780,  2780
BentzonTilia_2015.4.SRP038933___SRR1178356,SRR1178356,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,  3346,  3346,  2871,  2871,  2871
BentzonTilia_2015.4.SRP038933___SRR1178357,SRR1178357,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,  5086,  5086,  4822,  4822,  4822
BentzonTilia_2015.4.SRP038933___SRR1178358,SRR1178358,BentzonTilia_2015,BentzonTilia_2015:4:SRP038933,  1077,  1055,   936,   936,   936
Ding_2021.1.SRP261427___SRR11784070,SRR11784070,Ding_2021,Ding_2021:1:SRP261427, 35885, 35874, 32868, 32868, 32848
Ding_2021.1.SRP261427___SRR11784071,SRR11784071,Ding_2021,Ding_2021:1:SRP261427, 47472, 47342, 43442, 43379, 43145
Ding_2021.1.SRP261427___SRR11784072,SRR11784072,Ding_2021,Ding_2021:1:SRP261427, 47017, 46909, 45701, 45640, 45540
Ding_2021.1.SRP261427___SRR11784073,SRR11784073,Ding_2021,Ding_2021:1:SRP261427, 61137, 61032, 59626, 59575, 57442
Ding_2021.1.SRP261427___SRR11784074,SRR11784074,Ding_2021,Ding_2021:1:SRP261427, 42372, 41904, 37567, 37466, 37166
Ding_2021.1.SRP261427___SRR11784075,SRR11784075,Ding_2021,Ding_2021:1:SRP261427, 47179, 46907, 44158, 43944, 43781
Ding_2021.1.SRP261427___SRR11784076,SRR11784076,Ding_2021,Ding_2021:1:SRP261427, 45236, 45209, 44226, 44226, 44213
Ding_2021.1.SRP261427___SRR11784077,SRR11784077,Ding_2021,Ding_2021:1:SRP261427, 85754, 85737, 85438, 85438, 85438
Ding_2021.1.SRP261427___SRR11784078,SRR11784078,Ding_2021,Ding_2021:1:SRP261427, 26702, 26662, 25013, 25007, 24969
Ding_2021.1.SRP261427___SRR11784079,SRR11784079,Ding_2021,Ding_2021:1:SRP261427, 42423, 42348, 39816, 39605, 39605
Ding_2021.1.SRP261427___SRR11784080,SRR11784080,Ding_2021,Ding_2021:1:SRP261427, 44260, 44185, 43851, 43755, 43562
Ding_2021.1.SRP261427___SRR11784081,SRR11784081,Ding_2021,Ding_2021:1:SRP261427,109272,109193,107676,107598,107480
Ding_2021.1.SRP261427___SRR11784082,SRR11784082,Ding_2021,Ding_2021:1:SRP261427, 25012, 24999, 24806, 24806, 24789
Ding_2021.1.SRP261427___SRR11784083,SRR11784083,Ding_2021,Ding_2021:1:SRP261427, 29663, 29658, 29652, 29652, 29652
Ding_2021.1.SRP261427___SRR11784084,SRR11784084,Ding_2021,Ding_2021:1:SRP261427, 56854, 56796, 56333, 56233, 56132
Ding_2021.1.SRP261427___SRR11784085,SRR11784085,Ding_2021,Ding_2021:1:SRP261427, 59081, 58938, 57810, 57685, 57610
Ding_2021.1.SRP261427___SRR11784086,SRR11784086,Ding_2021,Ding_2021:1:SRP261427,116844,116774, 88602, 88593, 88442
Ding_2021.1.SRP261427___SRR11784087,SRR11784087,Ding_2021,Ding_2021:1:SRP261427, 18289, 18211, 14341, 14297, 13858
Ding_2021.1.SRP261427___SRR11784088,SRR11784088,Ding_2021,Ding_2021:1:SRP261427, 39237, 39022, 35071, 35052, 33990
Ding_2021.1.SRP261427___SRR11784089,SRR11784089,Ding_2021,Ding_2021:1:SRP261427, 62338, 62319, 53399, 53344, 53312
Ding_2021.1.SRP261427___SRR11784090,SRR11784090,Ding_2021,Ding_2021:1:SRP261427, 55019, 54631, 45481, 45220, 43217
Ding_2021.1.SRP261427___SRR11784091,SRR11784091,Ding_2021,Ding_2021:1:SRP261427, 15522, 15522, 13836, 13822, 12433
Ding_2021.1.SRP261427___SRR11784092,SRR11784092,Ding_2021,Ding_2021:1:SRP261427, 18370, 18363, 16721, 16679, 14027
Ding_2021.1.SRP261427___SRR11784093,SRR11784093,Ding_2021,Ding_2021:1:SRP261427, 23440, 23427, 22466, 22441, 21404
Ding_2021.1.SRP261427___SRR11784094,SRR11784094,Ding_2021,Ding_2021:1:SRP261427, 36814, 36784, 34713, 34708, 31671
Ding_2021.1.SRP261427___SRR11784095,SRR11784095,Ding_2021,Ding_2021:1:SRP261427, 24279, 24249, 23262, 23178, 17977
Ding_2021.1.SRP261427___SRR11784096,SRR11784096,Ding_2021,Ding_2021:1:SRP261427, 33109, 32989, 32430, 32332, 32264
Ding_2021.1.SRP261427___SRR11784097,SRR11784097,Ding_2021,Ding_2021:1:SRP261427, 31537, 31443, 31397, 31369, 31278
Ding_2021.1.SRP261427___SRR11784098,SRR11784098,Ding_2021,Ding_2021:1:SRP261427, 28748, 28720, 28616, 28616, 28607
Ding_2021.1.SRP261427___SRR11784099,SRR11784099,Ding_2021,Ding_2021:1:SRP261427, 40551, 40511, 36420, 36411, 33800
Ding_2021.1.SRP261427___SRR11784100,SRR11784100,Ding_2021,Ding_2021:1:SRP261427, 43736, 43725, 43092, 43075, 42916
Ding_2021.1.SRP261427___SRR11784101,SRR11784101,Ding_2021,Ding_2021:1:SRP261427, 43339, 43292, 42420, 42329, 42219
Gradoville_2020.1.SRP190508___Hanna1.63683A,Hanna1.63683A,Gradoville_2020,Gradoville_2020:1:SRP190508, 37139, 37009, 35339, 35323, 35323
Gradoville_2020.1.SRP190508___Hanna11.64088A,Hanna11.64088A,Gradoville_2020,Gradoville_2020:1:SRP190508, 30248, 30128, 28508, 28460, 28434
Gradoville_2020.1.SRP190508___Hanna13.63687A,Hanna13.63687A,Gradoville_2020,Gradoville_2020:1:SRP190508, 18303, 18303, 17597, 17530, 17469
Gradoville_2020.1.SRP190508___Hanna15.63689A,Hanna15.63689A,Gradoville_2020,Gradoville_2020:1:SRP190508, 28716, 28643, 26665, 26614, 26542
Gradoville_2020.1.SRP190508___Hanna17.63693A,Hanna17.63693A,Gradoville_2020,Gradoville_2020:1:SRP190508, 27202, 27177, 26582, 26531, 25669
Gradoville_2020.1.SRP190508___Hanna19.63695A,Hanna19.63695A,Gradoville_2020,Gradoville_2020:1:SRP190508, 27042, 27035, 26362, 26333, 26330
Gradoville_2020.1.SRP190508___Hanna21.63697A,Hanna21.63697A,Gradoville_2020,Gradoville_2020:1:SRP190508, 25150, 25121, 25097, 25085, 25077
Gradoville_2020.1.SRP190508___Hanna23.63699A,Hanna23.63699A,Gradoville_2020,Gradoville_2020:1:SRP190508, 34708, 34701, 34342, 34342, 34342
Gradoville_2020.1.SRP190508___Hanna25.63703A,Hanna25.63703A,Gradoville_2020,Gradoville_2020:1:SRP190508, 26409, 26261, 25999, 25999, 25981
Gradoville_2020.1.SRP190508___Hanna27.63707A,Hanna27.63707A,Gradoville_2020,Gradoville_2020:1:SRP190508, 28251, 28229, 27543, 27528, 27528
Gradoville_2020.1.SRP190508___Hanna29.63737A,Hanna29.63737A,Gradoville_2020,Gradoville_2020:1:SRP190508, 25835, 25509, 23525, 23073, 20491
Gradoville_2020.1.SRP190508___Hanna3.63711A,Hanna3.63711A,Gradoville_2020,Gradoville_2020:1:SRP190508, 28174, 28014, 27819, 27809, 27801
Gradoville_2020.1.SRP190508___Hanna31.63741A,Hanna31.63741A,Gradoville_2020,Gradoville_2020:1:SRP190508, 24320, 23870, 21895, 21364, 18758
Gradoville_2020.1.SRP190508___Hanna32.63743A,Hanna32.63743A,Gradoville_2020,Gradoville_2020:1:SRP190508, 41653, 39638, 35989, 35591, 35232
Gradoville_2020.1.SRP190508___Hanna34.63745A,Hanna34.63745A,Gradoville_2020,Gradoville_2020:1:SRP190508, 39441, 38567, 35672, 35623, 35530
Gradoville_2020.1.SRP190508___Hanna36.63749A,Hanna36.63749A,Gradoville_2020,Gradoville_2020:1:SRP190508, 35350, 34243, 32447, 32328, 31859
Gradoville_2020.1.SRP190508___Hanna38.63753A,Hanna38.63753A,Gradoville_2020,Gradoville_2020:1:SRP190508, 45373, 44774, 41871, 41818, 41228
Gradoville_2020.1.SRP190508___Hanna40.64095A,Hanna40.64095A,Gradoville_2020,Gradoville_2020:1:SRP190508, 55511, 55469, 50833, 50758, 50758
Gradoville_2020.1.SRP190508___Hanna42.64097A,Hanna42.64097A,Gradoville_2020,Gradoville_2020:1:SRP190508, 19407, 19210, 17546, 17367, 17270
Gradoville_2020.1.SRP190508___Hanna44.64101A,Hanna44.64101A,Gradoville_2020,Gradoville_2020:1:SRP190508, 22443, 22437, 21342, 21283, 21279
Gradoville_2020.1.SRP190508___Hanna47.64105A,Hanna47.64105A,Gradoville_2020,Gradoville_2020:1:SRP190508, 40684, 40286, 33723, 33592, 33417
Gradoville_2020.1.SRP190508___Hanna49.64107A,Hanna49.64107A,Gradoville_2020,Gradoville_2020:1:SRP190508, 24880, 23999, 19997, 19860, 19854
Gradoville_2020.1.SRP190508___Hanna5.63727A,Hanna5.63727A,Gradoville_2020,Gradoville_2020:1:SRP190508, 35083, 34636, 32756, 32370, 32208
Gradoville_2020.1.SRP190508___Hanna51.64109A,Hanna51.64109A,Gradoville_2020,Gradoville_2020:1:SRP190508, 37493, 37046, 34400, 34234, 34186
Gradoville_2020.1.SRP190508___Hanna53.64113A,Hanna53.64113A,Gradoville_2020,Gradoville_2020:1:SRP190508, 29733, 29681, 28379, 28344, 27899
Gradoville_2020.1.SRP190508___Hanna55.64117A,Hanna55.64117A,Gradoville_2020,Gradoville_2020:1:SRP190508, 29245, 28865, 28193, 28157, 28058
Gradoville_2020.1.SRP190508___Hanna7.63757A,Hanna7.63757A,Gradoville_2020,Gradoville_2020:1:SRP190508, 28354, 27323, 25636, 25505, 25365
Gradoville_2020.1.SRP190508___Hanna9.64076A,Hanna9.64076A,Gradoville_2020,Gradoville_2020:1:SRP190508, 21427, 21186, 20432, 20400, 20392
Gradoville_2020.2.SRP190508___Hanna10.64077A,Hanna10.64077A,Gradoville_2020,Gradoville_2020:2:SRP190508, 21833, 21573, 21392, 21294, 21060
Gradoville_2020.2.SRP190508___Hanna12.64089A,Hanna12.64089A,Gradoville_2020,Gradoville_2020:2:SRP190508, 24617, 24547, 24123, 24067, 23983
Gradoville_2020.2.SRP190508___Hanna14.63688A,Hanna14.63688A,Gradoville_2020,Gradoville_2020:2:SRP190508, 24107, 23906, 22836, 22612, 22449
Gradoville_2020.2.SRP190508___Hanna16.63690A,Hanna16.63690A,Gradoville_2020,Gradoville_2020:2:SRP190508, 30658, 30500, 28092, 27922, 27760
Gradoville_2020.2.SRP190508___Hanna18.63694A,Hanna18.63694A,Gradoville_2020,Gradoville_2020:2:SRP190508, 26061, 25886, 24840, 24720, 24599
Gradoville_2020.2.SRP190508___Hanna2.63684A,Hanna2.63684A,Gradoville_2020,Gradoville_2020:2:SRP190508, 18227, 18087, 18008, 17922, 17922
Gradoville_2020.2.SRP190508___Hanna20.63696A,Hanna20.63696A,Gradoville_2020,Gradoville_2020:2:SRP190508, 62595, 62592, 62507, 62423, 62386
Gradoville_2020.2.SRP190508___Hanna22.63698A,Hanna22.63698A,Gradoville_2020,Gradoville_2020:2:SRP190508, 24220, 24141, 24131, 24114, 24114
Gradoville_2020.2.SRP190508___Hanna24.63700A,Hanna24.63700A,Gradoville_2020,Gradoville_2020:2:SRP190508, 32274, 32227, 32126, 32126, 32104
Gradoville_2020.2.SRP190508___Hanna28.63708A,Hanna28.63708A,Gradoville_2020,Gradoville_2020:2:SRP190508, 28923, 28870, 27874, 27823, 27823
Gradoville_2020.2.SRP190508___Hanna30.63738A,Hanna30.63738A,Gradoville_2020,Gradoville_2020:2:SRP190508, 23162, 21280, 18980, 18904, 18696
Gradoville_2020.2.SRP190508___Hanna33.63744A,Hanna33.63744A,Gradoville_2020,Gradoville_2020:2:SRP190508, 42802, 41890, 39558, 38485, 36080
Gradoville_2020.2.SRP190508___Hanna35.63746A,Hanna35.63746A,Gradoville_2020,Gradoville_2020:2:SRP190508, 28990, 28801, 28576, 28257, 26994
Gradoville_2020.2.SRP190508___Hanna37.63750A,Hanna37.63750A,Gradoville_2020,Gradoville_2020:2:SRP190508, 36153, 35682, 35158, 34890, 33585
Gradoville_2020.2.SRP190508___Hanna39.63754A,Hanna39.63754A,Gradoville_2020,Gradoville_2020:2:SRP190508, 35853, 35557, 34897, 34832, 34473
Gradoville_2020.2.SRP190508___Hanna4.63712A,Hanna4.63712A,Gradoville_2020,Gradoville_2020:2:SRP190508, 21719, 21587, 21554, 21456, 21435
Gradoville_2020.2.SRP190508___Hanna41.64096A,Hanna41.64096A,Gradoville_2020,Gradoville_2020:2:SRP190508, 37145, 36442, 27679, 26736, 24052
Gradoville_2020.2.SRP190508___Hanna43.64098A,Hanna43.64098A,Gradoville_2020,Gradoville_2020:2:SRP190508, 32016, 31065, 28500, 26325, 18841
Gradoville_2020.2.SRP190508___Hanna45.64102A,Hanna45.64102A,Gradoville_2020,Gradoville_2020:2:SRP190508, 26841, 26304, 24101, 21209, 17143
Gradoville_2020.2.SRP190508___Hanna46.64100A,Hanna46.64100A,Gradoville_2020,Gradoville_2020:2:SRP190508,     0,     0,     0,     0,     0
Gradoville_2020.2.SRP190508___Hanna48.64106A,Hanna48.64106A,Gradoville_2020,Gradoville_2020:2:SRP190508, 45262, 43623, 39434, 38512, 37203
Gradoville_2020.2.SRP190508___Hanna50.64108A,Hanna50.64108A,Gradoville_2020,Gradoville_2020:2:SRP190508, 25528, 23663, 20428, 20138, 19183
Gradoville_2020.2.SRP190508___Hanna52.64110A,Hanna52.64110A,Gradoville_2020,Gradoville_2020:2:SRP190508, 34299, 31968, 30831, 30360, 29607
Gradoville_2020.2.SRP190508___Hanna54.64114A,Hanna54.64114A,Gradoville_2020,Gradoville_2020:2:SRP190508, 21863, 21801, 21421, 21371, 21277
Gradoville_2020.2.SRP190508___Hanna56.64118A,Hanna56.64118A,Gradoville_2020,Gradoville_2020:2:SRP190508, 26765, 26693, 26626, 26443, 26261
Gradoville_2020.2.SRP190508___Hanna6.63728A,Hanna6.63728A,Gradoville_2020,Gradoville_2020:2:SRP190508, 39280, 38889, 38713, 38593, 37813
Gradoville_2020.2.SRP190508___Hanna8.63758A,Hanna8.63758A,Gradoville_2020,Gradoville_2020:2:SRP190508, 28192, 27639, 26898, 26683, 25973
Gradoville_2020.3.SRP190508___Gradoville31.68549,Gradoville31.68549,Gradoville_2020,Gradoville_2020:3:SRP190508, 18256, 18222, 18131, 18010, 17772
Gradoville_2020.3.SRP190508___Gradoville32.68550,Gradoville32.68550,Gradoville_2020,Gradoville_2020:3:SRP190508, 23507, 23418, 23318, 23158, 22797
Gradoville_2020.3.SRP190508___Gradoville33.68551,Gradoville33.68551,Gradoville_2020,Gradoville_2020:3:SRP190508, 19140, 18797, 18343, 17767, 17017
Gradoville_2020.3.SRP190508___Gradoville34.68552,Gradoville34.68552,Gradoville_2020,Gradoville_2020:3:SRP190508, 23394, 23287, 22845, 22229, 21582
Gradoville_2020.3.SRP190508___Gradoville35.68553,Gradoville35.68553,Gradoville_2020,Gradoville_2020:3:SRP190508,  6898,  4621,  4332,  3513,  2881
Gradoville_2020.3.SRP190508___Gradoville36.68554,Gradoville36.68554,Gradoville_2020,Gradoville_2020:3:SRP190508, 12175, 11090, 10842, 10433, 10197
Gradoville_2020.3.SRP190508___Gradoville37.68556,Gradoville37.68556,Gradoville_2020,Gradoville_2020:3:SRP190508, 19060, 18294, 16720, 16000, 15539
Gradoville_2020.3.SRP190508___Gradoville38.68561,Gradoville38.68561,Gradoville_2020,Gradoville_2020:3:SRP190508, 23907, 14887, 14506, 11328, 10768
Gradoville_2020.3.SRP190508___Gradoville39.68562,Gradoville39.68562,Gradoville_2020,Gradoville_2020:3:SRP190508, 21544, 14511, 13937,  9823,  9132
Gradoville_2020.3.SRP190508___Gradoville40.68567,Gradoville40.68567,Gradoville_2020,Gradoville_2020:3:SRP190508, 21746, 21025, 19909, 19616, 19534
Gradoville_2020.3.SRP190508___Gradoville41.68568,Gradoville41.68568,Gradoville_2020,Gradoville_2020:3:SRP190508, 39716, 37986, 36622, 35164, 34971
Gradoville_2020.3.SRP190508___Gradoville42.68591,Gradoville42.68591,Gradoville_2020,Gradoville_2020:3:SRP190508, 18524, 18231, 17532, 17132, 16925
Gradoville_2020.3.SRP190508___Gradoville43.68597,Gradoville43.68597,Gradoville_2020,Gradoville_2020:3:SRP190508, 27090, 26793, 25230, 25030, 24642
Gradoville_2020.3.SRP190508___Gradoville44.68607,Gradoville44.68607,Gradoville_2020,Gradoville_2020:3:SRP190508, 32294, 32012, 30575, 29118, 28472
Gradoville_2020.3.SRP190508___Gradoville45.68608,Gradoville45.68608,Gradoville_2020,Gradoville_2020:3:SRP190508, 35717, 35518, 34935, 34081, 33665
Gradoville_2020.3.SRP190508___Gradoville46.68638,Gradoville46.68638,Gradoville_2020,Gradoville_2020:3:SRP190508, 18275, 17147, 16147, 15329, 15108
Gradoville_2020.3.SRP190508___Gradoville47.68645,Gradoville47.68645,Gradoville_2020,Gradoville_2020:3:SRP190508, 28558, 25208, 24225, 18458, 17626
Gradoville_2020.3.SRP190508___Gradoville48.68646,Gradoville48.68646,Gradoville_2020,Gradoville_2020:3:SRP190508, 27087, 26210, 25974, 24679, 24474
Gradoville_2020.3.SRP190508___Gradoville49.68667,Gradoville49.68667,Gradoville_2020,Gradoville_2020:3:SRP190508, 19041, 16150, 15210, 14317, 13726
Gradoville_2020.3.SRP190508___Gradoville54.68692,Gradoville54.68692,Gradoville_2020,Gradoville_2020:3:SRP190508, 17267,  7284,  6655,  4451,  3760
