SampleWF,Sample,Study,tag,ReadsPipeline,ReadsGatherAsvs,ReadsFilterAuids.Rare,ReadsFilterAuids.NonNifH,ReadsFilterAuids.Length
Harding_2018.1.no_SRA___Harding218.66564_S218,Harding218.66564_S218,Harding_2018,Harding_2018:1:no_SRA, 18818,  9765,  8076,  7922,  7477
Harding_2018.1.no_SRA___Harding219.66566_S219,Harding219.66566_S219,Harding_2018,Harding_2018:1:no_SRA, 14086,  9691,  8658,  8619,  8447
Harding_2018.1.no_SRA___Harding231.66709_S231,Harding231.66709_S231,Harding_2018,Harding_2018:1:no_SRA, 23792, 10345,  8721,  2187,   961
Harding_2018.2.no_SRA___Harding138.63181_S138,Harding138.63181_S138,Harding_2018,Harding_2018:2:no_SRA, 52386, 48771, 44160, 44160, 44160
Harding_2018.2.no_SRA___Harding140.63189_S140,Harding140.63189_S140,Harding_2018,Harding_2018:2:no_SRA, 37003, 33743, 33729, 33729, 33665
Harding_2018.2.no_SRA___Harding142.63191_S142,Harding142.63191_S142,Harding_2018,Harding_2018:2:no_SRA, 31108, 26960, 26749, 25757, 25734
Harding_2018.2.no_SRA___Harding144.63201_S144,Harding144.63201_S144,Harding_2018,Harding_2018:2:no_SRA, 25424, 23166, 20206, 20206, 20206
Harding_2018.2.no_SRA___Harding146.63211_S146,Harding146.63211_S146,Harding_2018,Harding_2018:2:no_SRA, 33055, 24867, 24758, 22702, 22657
Harding_2018.2.no_SRA___Harding148.63217_S148,Harding148.63217_S148,Harding_2018,Harding_2018:2:no_SRA, 22814, 19982, 19975, 19975, 19879
Harding_2018.2.no_SRA___Harding150.63221_S150,Harding150.63221_S150,Harding_2018,Harding_2018:2:no_SRA, 28124, 26392, 21598, 21226, 21188
Harding_2018.2.no_SRA___Harding152.63235_S152,Harding152.63235_S152,Harding_2018,Harding_2018:2:no_SRA, 52049, 40288, 37147, 35995, 35905
Harding_2018.2.no_SRA___Harding154.63243_S154,Harding154.63243_S154,Harding_2018,Harding_2018:2:no_SRA, 20836, 19211, 16031, 16031, 15972
Harding_2018.2.no_SRA___Harding157.64171_S157,Harding157.64171_S157,Harding_2018,Harding_2018:2:no_SRA, 21666, 21574, 18307, 18307, 18248
Harding_2018.2.no_SRA___Harding159.64179_S159,Harding159.64179_S159,Harding_2018,Harding_2018:2:no_SRA, 26748, 25769, 24996, 24802, 24802
Harding_2018.2.no_SRA___Harding162.64203_S162,Harding162.64203_S162,Harding_2018,Harding_2018:2:no_SRA, 23499, 12382, 12128, 11356, 10756
Harding_2018.2.no_SRA___Harding164.64211_S164,Harding164.64211_S164,Harding_2018,Harding_2018:2:no_SRA, 13592,  9563,  9547,  9194,  8712
Harding_2018.2.no_SRA___Harding166.64219_S166,Harding166.64219_S166,Harding_2018,Harding_2018:2:no_SRA, 17451, 15109,  8258,  8258,  8184
Harding_2018.2.no_SRA___Harding168.64227_S168,Harding168.64227_S168,Harding_2018,Harding_2018:2:no_SRA, 30873, 17051, 16843, 15788, 14631
Harding_2018.2.no_SRA___Harding170.64235_S170,Harding170.64235_S170,Harding_2018,Harding_2018:2:no_SRA, 10681,  7269,  7091,  6763,  6145
Harding_2018.2.no_SRA___Harding171.64243_S171,Harding171.64243_S171,Harding_2018,Harding_2018:2:no_SRA, 22733, 18604, 17123, 17080, 17060
Harding_2018.2.no_SRA___Harding172.64259_S172,Harding172.64259_S172,Harding_2018,Harding_2018:2:no_SRA,  8705,  3612,  3485,  3430,  3317
Harding_2018.2.no_SRA___Harding173.64267_S173,Harding173.64267_S173,Harding_2018,Harding_2018:2:no_SRA, 21484, 15406, 15352, 15272, 15180
Harding_2018.2.no_SRA___Harding175.64283_S175,Harding175.64283_S175,Harding_2018,Harding_2018:2:no_SRA, 17977, 12951, 11744, 11491, 11224
Harding_2018.2.no_SRA___Harding178.64299_S178,Harding178.64299_S178,Harding_2018,Harding_2018:2:no_SRA, 15980, 12172, 10523, 10361,  9926
Harding_2018.2.no_SRA___Harding180.64307_S180,Harding180.64307_S180,Harding_2018,Harding_2018:2:no_SRA,  9128,  4841,  4623,  4623,  4308
Harding_2018.2.no_SRA___Harding182.65458_S182,Harding182.65458_S182,Harding_2018,Harding_2018:2:no_SRA, 19809,  5649,  5482,  5261,  4631
Harding_2018.2.no_SRA___Harding184.65466_S184,Harding184.65466_S184,Harding_2018,Harding_2018:2:no_SRA, 19082,  8435,  8257,  8210,  7432
Harding_2018.2.no_SRA___Harding186.65474_S186,Harding186.65474_S186,Harding_2018,Harding_2018:2:no_SRA, 20693, 17057, 13707, 13615, 13483
Harding_2018.2.no_SRA___Harding189.65490_S189,Harding189.65490_S189,Harding_2018,Harding_2018:2:no_SRA, 23339, 17501, 13294, 13239, 12825
Harding_2018.2.no_SRA___Harding191.65510_S191,Harding191.65510_S191,Harding_2018,Harding_2018:2:no_SRA, 24789, 19568, 17923, 17859, 17561
Harding_2018.2.no_SRA___Harding194.65532_S194,Harding194.65532_S194,Harding_2018,Harding_2018:2:no_SRA, 11683,  7047,  6974,  6773,  6622
Harding_2018.2.no_SRA___Harding196.65546_S196,Harding196.65546_S196,Harding_2018,Harding_2018:2:no_SRA, 24913, 24432, 22663, 22474, 22175
Harding_2018.2.no_SRA___Harding198.65548_S198,Harding198.65548_S198,Harding_2018,Harding_2018:2:no_SRA, 27111, 24013, 23936, 22579, 22087
Harding_2018.2.no_SRA___Harding199.65556_S199,Harding199.65556_S199,Harding_2018,Harding_2018:2:no_SRA, 12925, 12053,  9902,  9902,  9902
Harding_2018.2.no_SRA___Harding201.65567_S201,Harding201.65567_S201,Harding_2018,Harding_2018:2:no_SRA, 28227, 14079, 13947, 13696, 12663
Harding_2018.2.no_SRA___Harding203.65575_S203,Harding203.65575_S203,Harding_2018,Harding_2018:2:no_SRA, 22846, 16400, 15716, 15604, 15400
Harding_2018.2.no_SRA___Harding205.65583_S205,Harding205.65583_S205,Harding_2018,Harding_2018:2:no_SRA, 17016, 13147, 13146, 12837, 12026
Harding_2018.2.no_SRA___Harding207.65591_S207,Harding207.65591_S207,Harding_2018,Harding_2018:2:no_SRA,  9321,  4094,  4094,  4094,  3262
Harding_2018.2.no_SRA___Harding210.65607_S210,Harding210.65607_S210,Harding_2018,Harding_2018:2:no_SRA, 28648, 27770, 23650, 23650, 23506
Harding_2018.2.no_SRA___Harding212.65639_S212,Harding212.65639_S212,Harding_2018,Harding_2018:2:no_SRA, 23929, 23554, 20799, 20799, 20778
Harding_2018.2.no_SRA___Harding214.65647_S214,Harding214.65647_S214,Harding_2018,Harding_2018:2:no_SRA, 14639, 14199, 11828, 11828, 11828
Harding_2018.2.no_SRA___Harding222.66631_S222,Harding222.66631_S222,Harding_2018,Harding_2018:2:no_SRA, 19745, 18082, 17709, 17535, 17388
Harding_2018.2.no_SRA___Harding223.66672_S223,Harding223.66672_S223,Harding_2018,Harding_2018:2:no_SRA,  2492,  1396,  1396,  1349,  1320
Harding_2018.2.no_SRA___Harding225.66680_S225,Harding225.66680_S225,Harding_2018,Harding_2018:2:no_SRA, 31129, 29458, 28991, 28890, 28673
Harding_2018.2.no_SRA___Harding228.66697_S228,Harding228.66697_S228,Harding_2018,Harding_2018:2:no_SRA, 20965, 18360, 16741, 16730, 16474
Harding_2018.2.no_SRA___Harding230.66706_S230,Harding230.66706_S230,Harding_2018,Harding_2018:2:no_SRA, 24215, 19320, 17744, 16956, 16502
Harding_2018.3.no_SRA___Harding137.63180_S137,Harding137.63180_S137,Harding_2018,Harding_2018:3:no_SRA, 16872, 16363, 14928, 14928, 14928
Harding_2018.3.no_SRA___Harding139.63188_S139,Harding139.63188_S139,Harding_2018,Harding_2018:3:no_SRA, 39626, 39158, 38182, 38182, 38018
Harding_2018.3.no_SRA___Harding141.63190_S141,Harding141.63190_S141,Harding_2018,Harding_2018:3:no_SRA, 15020, 14126, 13456, 13456, 13456
Harding_2018.3.no_SRA___Harding145.63210_S145,Harding145.63210_S145,Harding_2018,Harding_2018:3:no_SRA, 32827, 32375, 32265, 32265, 32265
Harding_2018.3.no_SRA___Harding147.63216_S147,Harding147.63216_S147,Harding_2018,Harding_2018:3:no_SRA, 19593, 18645, 18503, 18503, 18503
Harding_2018.3.no_SRA___Harding149.63220_S149,Harding149.63220_S149,Harding_2018,Harding_2018:3:no_SRA, 21226, 20427, 16025, 16025, 15990
Harding_2018.3.no_SRA___Harding151.63234_S151,Harding151.63234_S151,Harding_2018,Harding_2018:3:no_SRA, 22919, 22559, 19252, 19252, 19252
Harding_2018.3.no_SRA___Harding153.63242_S153,Harding153.63242_S153,Harding_2018,Harding_2018:3:no_SRA, 18079, 17999, 15228, 15228, 15228
Harding_2018.3.no_SRA___Harding158.64178_S158,Harding158.64178_S158,Harding_2018,Harding_2018:3:no_SRA, 20730, 19447, 13405, 13405, 13405
Harding_2018.3.no_SRA___Harding160.64186_S160,Harding160.64186_S160,Harding_2018,Harding_2018:3:no_SRA, 19652, 14723, 14628, 13885, 13412
Harding_2018.3.no_SRA___Harding161.64202_S161,Harding161.64202_S161,Harding_2018,Harding_2018:3:no_SRA, 22815, 21960, 21282, 21258, 21194
Harding_2018.3.no_SRA___Harding163.64210_S163,Harding163.64210_S163,Harding_2018,Harding_2018:3:no_SRA, 18165, 17972, 16067, 16067, 15977
Harding_2018.3.no_SRA___Harding165.64218_S165,Harding165.64218_S165,Harding_2018,Harding_2018:3:no_SRA, 22766, 22246, 17326, 17326, 17291
Harding_2018.3.no_SRA___Harding167.64226_S167,Harding167.64226_S167,Harding_2018,Harding_2018:3:no_SRA, 21610, 20712, 18247, 18219, 18190
Harding_2018.3.no_SRA___Harding169.64236_S169,Harding169.64236_S169,Harding_2018,Harding_2018:3:no_SRA, 11567, 10942,  8633,  8633,  8633
Harding_2018.3.no_SRA___Harding174.64282_S174,Harding174.64282_S174,Harding_2018,Harding_2018:3:no_SRA, 24872, 24094, 22550, 22479, 22479
Harding_2018.3.no_SRA___Harding176.64290_S176,Harding176.64290_S176,Harding_2018,Harding_2018:3:no_SRA, 39041, 30214, 29491, 29270, 29053
Harding_2018.3.no_SRA___Harding177.64298_S177,Harding177.64298_S177,Harding_2018,Harding_2018:3:no_SRA, 30649, 30376, 26974, 26974, 26834
Harding_2018.3.no_SRA___Harding179.64306_S179,Harding179.64306_S179,Harding_2018,Harding_2018:3:no_SRA, 21343, 20166, 17636, 17636, 17636
