SRR13612812	SRR13612813	SRR13612814	SRR13612912	SRR13612913	SRR13612914	SRR13612915
ASV.301	0	0	0	8	5	0	0
ASV.302	0	0	0	0	13	0	0
ASV.303	0	0	0	0	8	0	5
ASV.305	0	0	0	0	0	13	0
ASV.306	0	0	0	0	0	13	0
ASV.307	12	0	0	0	0	0	0
ASV.308	0	12	0	0	0	0	0
ASV.309	0	8	4	0	0	0	0
ASV.310	0	0	12	0	0	0	0
ASV.311	0	0	0	12	0	0	0
ASV.312	0	0	0	12	0	0	0
ASV.313	0	0	0	0	12	0	0
ASV.314	0	0	0	0	12	0	0
ASV.317	0	0	0	0	0	12	0
ASV.318	0	0	0	0	0	12	0
ASV.319	0	0	0	0	0	12	0
ASV.320	0	0	0	0	0	0	12
ASV.321	11	0	0	0	0	0	0
ASV.322	11	0	0	0	0	0	0
ASV.323	0	11	0	0	0	0	0
ASV.324	0	6	5	0	0	0	0
ASV.326	0	11	0	0	0	0	0
ASV.327	0	0	11	0	0	0	0
ASV.328	0	0	11	0	0	0	0
ASV.329	0	0	0	11	0	0	0
ASV.330	0	0	0	11	0	0	0
ASV.331	0	0	0	11	0	0	0
ASV.332	0	0	0	11	0	0	0
ASV.333	0	0	0	0	11	0	0
ASV.334	0	0	0	0	11	0	0
ASV.336	0	0	0	0	11	0	0
ASV.337	0	0	0	0	0	11	0
ASV.338	0	0	0	0	0	11	0
ASV.339	0	0	0	0	0	5	6
ASV.340	10	0	0	0	0	0	0
ASV.341	10	0	0	0	0	0	0
ASV.342	10	0	0	0	0	0	0
ASV.343	10	0	0	0	0	0	0
ASV.344	0	10	0	0	0	0	0
ASV.346	0	0	10	0	0	0	0
ASV.347	0	0	0	10	0	0	0
ASV.348	0	0	0	10	0	0	0
ASV.349	0	0	0	0	10	0	0
ASV.350	0	0	0	0	10	0	0
ASV.353	0	0	0	0	0	10	0
ASV.354	0	0	0	0	0	10	0
ASV.355	0	0	0	0	0	0	10
ASV.356	5	4	0	0	0	0	0
ASV.357	9	0	0	0	0	0	0
ASV.358	6	0	0	0	0	0	3
ASV.359	9	0	0	0	0	0	0
ASV.360	0	9	0	0	0	0	0
ASV.361	0	7	2	0	0	0	0
ASV.362	0	9	0	0	0	0	0
ASV.363	0	9	0	0	0	0	0
ASV.364	0	9	0	0	0	0	0
ASV.365	0	9	0	0	0	0	0
ASV.366	0	4	5	0	0	0	0
ASV.369	0	9	0	0	0	0	0
ASV.370	0	0	9	0	0	0	0
ASV.371	0	0	9	0	0	0	0
ASV.372	0	0	9	0	0	0	0
ASV.373	0	0	0	9	0	0	0
ASV.374	0	0	0	9	0	0	0
ASV.375	0	0	0	9	0	0	0
ASV.376	0	0	0	9	0	0	0
ASV.377	0	0	0	9	0	0	0
ASV.378	0	0	0	0	9	0	0
ASV.379	0	0	0	0	9	0	0
ASV.380	0	0	0	0	9	0	0
ASV.382	0	0	0	0	0	9	0
ASV.383	0	0	0	0	0	9	0
ASV.384	0	0	0	0	0	9	0
ASV.385	0	0	0	0	0	9	0
ASV.386	0	0	0	0	0	9	0
ASV.387	0	0	0	0	0	9	0
ASV.388	0	0	0	0	0	9	0
ASV.389	0	0	0	0	0	9	0
ASV.390	0	0	0	0	0	0	9
ASV.391	0	0	0	0	0	0	9
ASV.392	0	0	0	0	0	0	9
ASV.393	8	0	0	0	0	0	0
ASV.394	8	0	0	0	0	0	0
ASV.395	8	0	0	0	0	0	0
ASV.396	8	0	0	0	0	0	0
ASV.397	5	3	0	0	0	0	0
ASV.398	3	0	5	0	0	0	0
ASV.399	8	0	0	0	0	0	0
ASV.400	0	8	0	0	0	0	0
ASV.401	0	8	0	0	0	0	0
ASV.402	0	8	0	0	0	0	0
ASV.403	0	0	8	0	0	0	0
ASV.404	0	0	8	0	0	0	0
ASV.405	0	0	8	0	0	0	0
ASV.406	0	0	0	8	0	0	0
ASV.407	0	0	0	8	0	0	0
ASV.408	0	0	0	8	0	0	0
ASV.409	0	0	0	8	0	0	0
ASV.410	0	0	0	8	0	0	0
ASV.411	0	0	0	0	8	0	0
ASV.412	0	0	0	0	8	0	0
ASV.413	0	0	0	0	8	0	0
ASV.416	0	0	0	0	0	8	0
ASV.417	0	0	0	0	0	8	0
ASV.418	0	0	0	0	0	8	0
ASV.419	0	0	0	0	0	8	0
ASV.420	0	0	0	0	0	8	0
ASV.421	0	0	0	0	0	8	0
ASV.422	0	0	0	0	0	0	8
ASV.423	7	0	0	0	0	0	0
ASV.424	7	0	0	0	0	0	0
ASV.425	7	0	0	0	0	0	0
ASV.426	7	0	0	0	0	0	0
ASV.427	7	0	0	0	0	0	0
ASV.428	7	0	0	0	0	0	0
ASV.429	7	0	0	0	0	0	0
ASV.431	0	7	0	0	0	0	0
ASV.432	0	7	0	0	0	0	0
ASV.433	0	7	0	0	0	0	0
ASV.435	0	0	7	0	0	0	0
ASV.436	0	0	7	0	0	0	0
ASV.437	0	0	7	0	0	0	0
ASV.438	0	0	7	0	0	0	0
ASV.439	0	0	7	0	0	0	0
ASV.440	0	0	7	0	0	0	0
ASV.441	0	0	0	7	0	0	0
ASV.442	0	0	0	7	0	0	0
ASV.443	0	0	0	7	0	0	0
ASV.444	0	0	0	7	0	0	0
ASV.445	0	0	0	7	0	0	0
ASV.446	0	0	0	0	7	0	0
ASV.447	0	0	0	0	7	0	0
ASV.448	0	0	0	0	7	0	0
ASV.449	0	0	0	0	7	0	0
ASV.450	0	0	0	0	7	0	0
ASV.451	0	0	0	0	7	0	0
ASV.452	0	0	0	0	7	0	0
ASV.453	0	0	0	0	0	7	0
ASV.454	0	0	0	0	0	7	0
ASV.455	0	0	0	0	0	7	0
ASV.456	0	0	0	0	0	7	0
ASV.457	0	0	0	0	0	7	0
ASV.458	6	0	0	0	0	0	0
ASV.459	6	0	0	0	0	0	0
ASV.460	6	0	0	0	0	0	0
ASV.461	6	0	0	0	0	0	0
ASV.462	6	0	0	0	0	0	0
ASV.463	6	0	0	0	0	0	0
ASV.464	6	0	0	0	0	0	0
ASV.465	6	0	0	0	0	0	0
ASV.466	6	0	0	0	0	0	0
ASV.467	6	0	0	0	0	0	0
ASV.468	6	0	0	0	0	0	0
ASV.469	6	0	0	0	0	0	0
ASV.470	6	0	0	0	0	0	0
ASV.471	0	6	0	0	0	0	0
ASV.472	0	6	0	0	0	0	0
ASV.473	0	6	0	0	0	0	0
ASV.474	0	6	0	0	0	0	0
ASV.475	0	6	0	0	0	0	0
ASV.477	0	0	6	0	0	0	0
ASV.478	0	0	6	0	0	0	0
ASV.479	0	0	6	0	0	0	0
ASV.480	0	0	6	0	0	0	0
ASV.481	0	0	0	6	0	0	0
ASV.482	0	0	0	6	0	0	0
ASV.484	0	0	0	6	0	0	0
ASV.485	0	0	0	6	0	0	0
ASV.486	0	0	0	6	0	0	0
ASV.487	0	0	0	6	0	0	0
ASV.488	0	0	0	6	0	0	0
ASV.489	0	0	0	0	6	0	0
ASV.490	0	0	0	0	6	0	0
ASV.491	0	0	0	0	6	0	0
ASV.492	0	0	0	0	6	0	0
ASV.493	0	0	0	0	6	0	0
ASV.494	0	0	0	0	6	0	0
ASV.495	0	0	0	0	6	0	0
ASV.496	0	0	0	0	6	0	0
ASV.497	0	0	0	0	6	0	0
ASV.498	0	0	0	0	6	0	0
ASV.501	0	0	0	0	6	0	0
ASV.502	0	0	0	0	0	6	0
ASV.503	0	0	0	0	0	6	0
ASV.504	0	0	0	0	0	6	0
ASV.505	0	0	0	0	0	6	0
ASV.506	0	0	0	0	0	6	0
ASV.507	0	0	0	0	0	6	0
ASV.508	0	0	0	0	0	6	0
ASV.509	0	0	0	0	0	0	6
ASV.510	0	0	0	0	0	0	6
ASV.511	0	0	0	0	0	0	6
ASV.512	5	0	0	0	0	0	0
ASV.513	5	0	0	0	0	0	0
ASV.514	5	0	0	0	0	0	0
ASV.515	5	0	0	0	0	0	0
ASV.516	5	0	0	0	0	0	0
ASV.517	5	0	0	0	0	0	0
ASV.518	5	0	0	0	0	0	0
ASV.519	5	0	0	0	0	0	0
ASV.520	5	0	0	0	0	0	0
ASV.521	5	0	0	0	0	0	0
ASV.522	5	0	0	0	0	0	0
ASV.523	5	0	0	0	0	0	0
ASV.524	0	5	0	0	0	0	0
ASV.525	0	5	0	0	0	0	0
ASV.526	0	5	0	0	0	0	0
ASV.527	0	5	0	0	0	0	0
ASV.528	0	5	0	0	0	0	0
ASV.529	0	5	0	0	0	0	0
ASV.530	0	5	0	0	0	0	0
ASV.531	0	5	0	0	0	0	0
ASV.532	0	0	5	0	0	0	0
ASV.533	0	0	5	0	0	0	0
ASV.534	0	0	5	0	0	0	0
ASV.535	0	0	5	0	0	0	0
ASV.536	0	0	5	0	0	0	0
ASV.537	0	0	5	0	0	0	0
ASV.538	0	0	5	0	0	0	0
ASV.539	0	0	5	0	0	0	0
ASV.540	0	0	5	0	0	0	0
ASV.541	0	0	5	0	0	0	0
ASV.542	0	0	5	0	0	0	0
ASV.543	0	0	5	0	0	0	0
ASV.544	0	0	5	0	0	0	0
ASV.545	0	0	0	5	0	0	0
ASV.546	0	0	0	5	0	0	0
ASV.547	0	0	0	5	0	0	0
ASV.548	0	0	0	5	0	0	0
ASV.549	0	0	0	5	0	0	0
ASV.550	0	0	0	5	0	0	0
ASV.551	0	0	0	5	0	0	0
ASV.553	0	0	0	0	5	0	0
ASV.554	0	0	0	0	5	0	0
ASV.555	0	0	0	0	5	0	0
ASV.556	0	0	0	0	5	0	0
ASV.557	0	0	0	0	5	0	0
ASV.558	0	0	0	0	5	0	0
ASV.561	0	0	0	0	0	5	0
ASV.563	0	0	0	0	0	5	0
ASV.564	0	0	0	0	0	5	0
ASV.566	0	0	0	0	0	5	0
ASV.567	0	0	0	0	0	5	0
ASV.568	0	0	0	0	0	5	0
ASV.569	0	0	0	0	0	5	0
ASV.571	0	0	0	0	0	0	5
ASV.572	0	0	0	0	0	0	5
ASV.573	0	0	0	0	0	0	5
ASV.574	0	0	0	0	0	0	5
ASV.575	0	0	0	0	0	0	5
ASV.577	4	0	0	0	0	0	0
ASV.578	4	0	0	0	0	0	0
ASV.579	4	0	0	0	0	0	0
ASV.580	4	0	0	0	0	0	0
ASV.581	4	0	0	0	0	0	0
ASV.582	4	0	0	0	0	0	0
ASV.583	4	0	0	0	0	0	0
ASV.584	4	0	0	0	0	0	0
ASV.585	4	0	0	0	0	0	0
ASV.586	4	0	0	0	0	0	0
ASV.587	4	0	0	0	0	0	0
ASV.588	4	0	0	0	0	0	0
ASV.589	4	0	0	0	0	0	0
ASV.590	4	0	0	0	0	0	0
ASV.591	4	0	0	0	0	0	0
ASV.592	4	0	0	0	0	0	0
ASV.593	4	0	0	0	0	0	0
ASV.594	4	0	0	0	0	0	0
ASV.595	4	0	0	0	0	0	0
ASV.596	4	0	0	0	0	0	0
ASV.597	4	0	0	0	0	0	0
ASV.598	4	0	0	0	0	0	0
ASV.599	0	4	0	0	0	0	0
ASV.600	0	4	0	0	0	0	0
ASV.601	0	4	0	0	0	0	0
ASV.602	0	4	0	0	0	0	0
ASV.603	0	4	0	0	0	0	0
ASV.604	0	4	0	0	0	0	0
ASV.605	0	4	0	0	0	0	0
ASV.606	0	4	0	0	0	0	0
ASV.607	0	4	0	0	0	0	0
ASV.608	0	4	0	0	0	0	0
ASV.609	0	2	2	0	0	0	0
ASV.610	0	4	0	0	0	0	0
ASV.611	0	4	0	0	0	0	0
ASV.612	0	4	0	0	0	0	0
ASV.613	0	4	0	0	0	0	0
ASV.614	0	4	0	0	0	0	0
ASV.615	0	4	0	0	0	0	0
ASV.616	0	4	0	0	0	0	0
ASV.617	0	4	0	0	0	0	0
ASV.618	0	0	4	0	0	0	0
ASV.619	0	0	4	0	0	0	0
ASV.620	0	0	4	0	0	0	0
ASV.621	0	0	4	0	0	0	0
ASV.622	0	0	4	0	0	0	0
ASV.623	0	0	4	0	0	0	0
ASV.624	0	0	4	0	0	0	0
ASV.625	0	0	4	0	0	0	0
ASV.626	0	0	4	0	0	0	0
ASV.627	0	0	4	0	0	0	0
ASV.628	0	0	4	0	0	0	0
ASV.629	0	0	4	0	0	0	0
ASV.630	0	0	4	0	0	0	0
ASV.631	0	0	4	0	0	0	0
ASV.632	0	0	4	0	0	0	0
ASV.633	0	0	4	0	0	0	0
ASV.634	0	0	0	4	0	0	0
ASV.635	0	0	0	4	0	0	0
ASV.636	0	0	0	4	0	0	0
ASV.637	0	0	0	4	0	0	0
ASV.638	0	0	0	4	0	0	0
ASV.639	0	0	0	4	0	0	0
ASV.640	0	0	0	4	0	0	0
ASV.641	0	0	0	4	0	0	0
ASV.642	0	0	0	4	0	0	0
ASV.643	0	0	0	4	0	0	0
ASV.644	0	0	0	4	0	0	0
ASV.645	0	0	0	4	0	0	0
ASV.646	0	0	0	4	0	0	0
ASV.647	0	0	0	4	0	0	0
ASV.648	0	0	0	4	0	0	0
ASV.649	0	0	0	4	0	0	0
ASV.650	0	0	0	4	0	0	0
ASV.651	0	0	0	4	0	0	0
ASV.652	0	0	0	4	0	0	0
ASV.653	0	0	0	4	0	0	0
ASV.654	0	0	0	4	0	0	0
ASV.655	0	0	0	4	0	0	0
ASV.656	0	0	0	4	0	0	0
ASV.658	0	0	0	0	4	0	0
ASV.659	0	0	0	0	4	0	0
ASV.660	0	0	0	0	4	0	0
ASV.661	0	0	0	0	4	0	0
ASV.662	0	0	0	0	4	0	0
ASV.663	0	0	0	0	4	0	0
ASV.664	0	0	0	0	4	0	0
ASV.665	0	0	0	0	4	0	0
ASV.666	0	0	0	0	4	0	0
ASV.667	0	0	0	0	4	0	0
ASV.668	0	0	0	0	0	4	0
ASV.669	0	0	0	0	0	4	0
ASV.670	0	0	0	0	0	4	0
ASV.671	0	0	0	0	0	4	0
ASV.672	0	0	0	0	0	4	0
ASV.674	0	0	0	0	0	4	0
ASV.675	0	0	0	0	0	4	0
ASV.676	0	0	0	0	0	4	0
ASV.677	0	0	0	0	0	4	0
ASV.678	0	0	0	0	0	4	0
ASV.679	0	0	0	0	0	4	0
ASV.681	0	0	0	0	0	4	0
ASV.682	0	0	0	0	0	4	0
ASV.683	0	0	0	0	0	4	0
ASV.684	0	0	0	0	0	4	0
ASV.685	0	0	0	0	0	4	0
ASV.686	0	0	0	0	0	0	4
ASV.687	0	0	0	0	0	0	4
ASV.688	0	0	0	0	0	0	4
ASV.689	0	0	0	0	0	0	4
ASV.690	0	0	0	0	0	0	4
ASV.691	3	0	0	0	0	0	0
ASV.692	3	0	0	0	0	0	0
ASV.693	3	0	0	0	0	0	0
ASV.694	3	0	0	0	0	0	0
ASV.695	3	0	0	0	0	0	0
ASV.696	3	0	0	0	0	0	0
ASV.697	3	0	0	0	0	0	0
ASV.698	3	0	0	0	0	0	0
ASV.699	3	0	0	0	0	0	0
ASV.700	3	0	0	0	0	0	0
ASV.701	3	0	0	0	0	0	0
ASV.702	3	0	0	0	0	0	0
ASV.703	3	0	0	0	0	0	0
ASV.704	3	0	0	0	0	0	0
ASV.705	3	0	0	0	0	0	0
ASV.706	3	0	0	0	0	0	0
ASV.707	3	0	0	0	0	0	0
ASV.708	3	0	0	0	0	0	0
ASV.709	3	0	0	0	0	0	0
ASV.710	3	0	0	0	0	0	0
ASV.711	3	0	0	0	0	0	0
ASV.712	3	0	0	0	0	0	0
ASV.713	3	0	0	0	0	0	0
ASV.714	3	0	0	0	0	0	0
ASV.715	3	0	0	0	0	0	0
ASV.716	3	0	0	0	0	0	0
ASV.717	3	0	0	0	0	0	0
ASV.718	3	0	0	0	0	0	0
ASV.719	3	0	0	0	0	0	0
ASV.720	3	0	0	0	0	0	0
ASV.721	0	3	0	0	0	0	0
ASV.722	0	3	0	0	0	0	0
ASV.723	0	3	0	0	0	0	0
ASV.724	0	3	0	0	0	0	0
ASV.725	0	3	0	0	0	0	0
ASV.726	0	3	0	0	0	0	0
ASV.727	0	3	0	0	0	0	0
ASV.728	0	3	0	0	0	0	0
ASV.729	0	3	0	0	0	0	0
ASV.730	0	3	0	0	0	0	0
ASV.731	0	3	0	0	0	0	0
ASV.732	0	3	0	0	0	0	0
ASV.733	0	3	0	0	0	0	0
ASV.734	0	3	0	0	0	0	0
ASV.735	0	3	0	0	0	0	0
ASV.736	0	3	0	0	0	0	0
ASV.737	0	3	0	0	0	0	0
ASV.738	0	3	0	0	0	0	0
ASV.739	0	3	0	0	0	0	0
ASV.740	0	3	0	0	0	0	0
ASV.741	0	3	0	0	0	0	0
ASV.742	0	3	0	0	0	0	0
ASV.745	0	0	3	0	0	0	0
ASV.746	0	0	3	0	0	0	0
ASV.747	0	0	3	0	0	0	0
ASV.748	0	0	3	0	0	0	0
ASV.749	0	0	3	0	0	0	0
ASV.750	0	0	3	0	0	0	0
ASV.751	0	0	3	0	0	0	0
ASV.752	0	0	3	0	0	0	0
ASV.753	0	0	3	0	0	0	0
ASV.754	0	0	3	0	0	0	0
ASV.755	0	0	3	0	0	0	0
ASV.756	0	0	3	0	0	0	0
ASV.757	0	0	3	0	0	0	0
ASV.758	0	0	3	0	0	0	0
ASV.759	0	0	3	0	0	0	0
ASV.760	0	0	3	0	0	0	0
ASV.761	0	0	3	0	0	0	0
ASV.762	0	0	3	0	0	0	0
ASV.763	0	0	3	0	0	0	0
ASV.764	0	0	3	0	0	0	0
ASV.765	0	0	3	0	0	0	0
ASV.766	0	0	0	3	0	0	0
ASV.767	0	0	0	3	0	0	0
ASV.768	0	0	0	3	0	0	0
ASV.769	0	0	0	3	0	0	0
ASV.770	0	0	0	3	0	0	0
ASV.771	0	0	0	3	0	0	0
