SRR13240302	SRR13240303	SRR13240304	SRR13240305	SRR13240306	SRR13240307	SRR13240308	SRR13240309	SRR13240310	SRR13240311
ASV.187	0	0	0	0	45	0	0	0	158	0
ASV.188	0	0	0	0	0	0	203	0	0	0
ASV.189	0	105	96	0	0	0	0	0	0	0
ASV.190	0	0	0	0	0	0	200	0	0	0
ASV.191	0	0	0	0	0	0	0	5	195	0
ASV.193	155	0	5	11	0	0	0	0	0	28
ASV.194	0	0	0	0	0	0	198	0	0	0
ASV.195	0	121	76	0	0	0	0	0	0	0
ASV.196	0	0	0	0	0	0	90	43	59	0
ASV.197	190	0	0	0	0	0	0	0	0	0
ASV.198	66	0	0	0	0	0	0	0	0	122
ASV.199	0	4	20	164	0	0	0	0	0	0
ASV.200	0	0	0	0	0	0	188	0	0	0
ASV.201	0	0	33	153	0	0	0	0	0	0
ASV.202	0	0	0	186	0	0	0	0	0	0
ASV.204	0	175	9	0	0	0	0	0	0	0
ASV.205	0	70	34	79	0	0	0	0	0	0
ASV.206	80	0	12	14	0	0	0	0	0	76
ASV.208	0	0	0	0	0	0	0	182	0	0
ASV.209	0	0	0	0	0	0	0	181	0	0
ASV.210	0	0	0	0	0	0	180	0	0	0
ASV.211	0	0	0	0	0	0	0	0	180	0
ASV.212	177	0	0	0	0	0	0	0	0	2
ASV.213	0	159	20	0	0	0	0	0	0	0
ASV.214	0	179	0	0	0	0	0	0	0	0
ASV.215	178	0	0	0	0	0	0	0	0	0
ASV.216	29	0	13	136	0	0	0	0	0	0
ASV.217	0	0	0	0	0	0	0	0	178	0
ASV.219	75	0	20	62	0	0	0	0	0	19
ASV.220	0	0	0	0	174	0	0	0	0	0
ASV.221	72	0	0	101	0	0	0	0	0	0
ASV.223	62	0	0	0	0	0	0	0	0	110
ASV.224	108	0	8	0	0	0	0	0	0	55
ASV.225	0	0	0	171	0	0	0	0	0	0
ASV.226	0	0	0	5	0	0	0	25	141	0
ASV.227	0	0	0	0	0	9	0	0	162	0
ASV.228	0	0	0	0	0	0	170	0	0	0
ASV.229	98	0	0	0	0	0	0	0	0	71
ASV.231	33	0	0	100	0	0	0	0	0	34
ASV.232	0	87	80	0	0	0	0	0	0	0
ASV.234	93	0	53	12	0	0	0	0	0	8
ASV.235	0	166	0	0	0	0	0	0	0	0
ASV.236	165	0	0	0	0	0	0	0	0	0
ASV.237	0	130	34	0	0	0	0	0	0	0
ASV.238	0	164	0	0	0	0	0	0	0	0
ASV.239	0	140	23	0	0	0	0	0	0	0
ASV.240	0	0	0	163	0	0	0	0	0	0
ASV.241	0	0	0	0	162	0	0	0	0	0
ASV.244	0	0	0	0	0	0	161	0	0	0
ASV.245	3	0	25	129	0	0	0	0	0	2
ASV.246	0	0	0	0	0	159	0	0	0	0
ASV.247	0	0	37	117	0	0	0	0	0	0
ASV.248	14	7	102	22	0	0	0	0	0	8
ASV.249	0	0	19	134	0	0	0	0	0	0
ASV.250	0	0	0	0	0	0	153	0	0	0
ASV.251	152	0	0	0	0	0	0	0	0	0
ASV.252	39	0	0	77	0	0	0	0	0	36
ASV.253	51	0	0	0	0	0	0	0	0	101
ASV.254	152	0	0	0	0	0	0	0	0	0
ASV.255	0	0	57	95	0	0	0	0	0	0
ASV.256	0	0	0	152	0	0	0	0	0	0
ASV.257	0	0	0	152	0	0	0	0	0	0
ASV.259	0	0	0	0	0	0	152	0	0	0
ASV.260	91	0	0	0	0	0	0	0	0	60
ASV.261	0	0	26	125	0	0	0	0	0	0
ASV.262	0	0	77	73	0	0	0	0	0	0
ASV.263	0	0	31	119	0	0	0	0	0	0
ASV.264	0	0	0	0	0	0	0	150	0	0
ASV.265	0	149	0	0	0	0	0	0	0	0
ASV.266	0	100	49	0	0	0	0	0	0	0
ASV.267	0	0	79	68	0	0	0	0	0	0
ASV.268	0	0	0	147	0	0	0	0	0	0
ASV.269	98	0	0	0	0	0	0	0	0	48
ASV.272	120	15	10	0	0	0	0	0	0	0
ASV.273	0	0	0	127	0	0	0	0	0	18
ASV.274	0	0	0	0	144	0	0	0	0	0
ASV.275	0	121	22	0	0	0	0	0	0	0
ASV.276	0	6	16	120	0	0	0	0	0	0
ASV.277	0	0	0	140	0	0	0	0	0	0
ASV.278	53	0	14	52	0	0	0	0	0	20
ASV.279	0	0	62	77	0	0	0	0	0	0
ASV.280	138	0	0	0	0	0	0	0	0	0
ASV.281	115	0	0	5	0	0	0	0	0	17
ASV.282	0	0	0	0	0	34	103	0	0	0
ASV.283	0	0	0	0	0	0	137	0	0	0
ASV.284	136	0	0	0	0	0	0	0	0	0
ASV.285	0	64	72	0	0	0	0	0	0	0
ASV.286	0	0	0	0	0	0	135	0	0	0
ASV.287	133	0	0	0	0	0	0	0	0	0
ASV.288	37	0	0	19	0	0	0	0	0	77
ASV.289	0	133	0	0	0	0	0	0	0	0
ASV.290	0	0	49	84	0	0	0	0	0	0
ASV.291	89	0	0	43	0	0	0	0	0	0
ASV.292	0	31	0	80	0	0	0	0	0	21
ASV.293	126	0	5	0	0	0	0	0	0	0
ASV.294	0	0	33	97	0	0	0	0	0	0
ASV.295	0	0	0	0	0	0	130	0	0	0
ASV.296	15	0	3	5	0	0	0	0	0	106
ASV.297	0	110	19	0	0	0	0	0	0	0
ASV.298	0	101	28	0	0	0	0	0	0	0
ASV.299	0	86	42	0	0	0	0	0	0	0
ASV.301	0	0	0	0	0	0	0	0	128	0
