Turk001-60663	Turk002-60836	Turk003-64283	Turk004-61107	Turk005-61293	Turk006-61492	Turk007-61980	Turk010-60665	Turk011-60838	Turk012-64287	Turk013-61115	Turk014-61297	Turk015-61600	Turk016-62051	Turk019-60667	Turk020-60875	Turk021-64291	Turk022-61155	Turk023-61301	Turk024-61604	Turk025-62059	Turk028-60690	Turk029-60883	Turk030-64295	Turk031-61159	Turk032-61380	Turk033-61837	Turk034-64519	Turk037-60692	Turk038-60909	Turk039-61091	Turk040-61167	Turk041-61388	Turk042-61845	Turk043-64524	Turk045-64121	Turk046-60917	Turk047-61099	Turk048-61197	Turk049-61424	Turk050-61868	Turk051-64631	Turk053-64125	Turk054-64160	Turk055-61107	Turk056-61198	Turk057-61432	Turk058-61876	Turk059-64634	Turk061-64126	Turk062-64275	Turk063-61115	Turk064-61199	Turk065-61484	Turk066-61972	Turk067-64223
ASV.65	0	0	0	0	0	128	0	0	0	613	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	174	0	0	0	0	355	0	0	0	0	0	724	0	0	234	80	212	0	0	0	333	0	35	0
ASV.66	1451	0	0	0	0	0	0	1691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.67	0	0	0	0	689	0	0	0	0	0	0	325	0	0	0	0	0	304	0	0	0	0	0	0	0	129	0	0	0	0	121	0	785	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0
ASV.72	62	0	15	17	520	0	0	41	0	0	0	202	24	0	0	102	0	474	138	32	0	0	13	0	88	342	0	0	11	3	0	7	0	0	0	5	44	0	166	0	0	0	0	13	0	29	0	0	0	0	247	0	40	0	0	8
ASV.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2204
ASV.74	0	0	0	0	0	477	112	0	0	0	134	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	294	0	0	0	0	0	123	0	0	0	62	607	0	0	0	0	0	0	0
ASV.75	0	0	0	0	0	81	0	0	0	0	88	151	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	169	55	994	0	0	6	36	0	0	0	0	0	75	0	0	49	0	35	0	0	0	100	0	0	0
ASV.76	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2105	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0
ASV.77	0	2192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.78	0	0	0	0	0	0	0	0	0	134	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	0	0	415	0	0	0	0	0	676	0	0	0	0	212	0	0	0	0	0	0	0
ASV.80	0	0	354	155	306	0	0	0	0	0	0	0	233	0	0	0	212	77	0	0	45	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	184	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0
ASV.82	0	0	446	0	26	0	0	0	0	0	0	0	190	0	0	17	160	0	0	0	104	0	0	0	0	0	103	0	0	0	52	93	0	0	0	0	0	0	275	31	0	0	0	0	0	72	0	0	0	0	279	0	0	0	45	174
