#Source	Type	SizeFrac	SampName
RawFastqs/SRR15563491_2.fastq.gz	DNA	Frac_0.2	SRR15563491
RawFastqs/SRR15563492_1.fastq.gz	DNA	Frac_0.2	SRR15563492
RawFastqs/SRR15563492_2.fastq.gz	DNA	Frac_0.2	SRR15563492
RawFastqs/SRR15563493_1.fastq.gz	DNA	Frac_0.2	SRR15563493
RawFastqs/SRR15563493_2.fastq.gz	DNA	Frac_0.2	SRR15563493
RawFastqs/SRR15563494_1.fastq.gz	DNA	Frac_0.2	SRR15563494
RawFastqs/SRR15563494_2.fastq.gz	DNA	Frac_0.2	SRR15563494
RawFastqs/SRR15563495_1.fastq.gz	DNA	Frac_0.2	SRR15563495
RawFastqs/SRR15563495_2.fastq.gz	DNA	Frac_0.2	SRR15563495
RawFastqs/SRR15563496_1.fastq.gz	DNA	Frac_0.2	SRR15563496
RawFastqs/SRR15563496_2.fastq.gz	DNA	Frac_0.2	SRR15563496
RawFastqs/SRR15563497_1.fastq.gz	DNA	Frac_0.2	SRR15563497
RawFastqs/SRR15563497_2.fastq.gz	DNA	Frac_0.2	SRR15563497
RawFastqs/SRR15563498_1.fastq.gz	DNA	Frac_0.2	SRR15563498
RawFastqs/SRR15563498_2.fastq.gz	DNA	Frac_0.2	SRR15563498
RawFastqs/SRR15563499_1.fastq.gz	DNA	Frac_0.2	SRR15563499
RawFastqs/SRR15563499_2.fastq.gz	DNA	Frac_0.2	SRR15563499
RawFastqs/SRR15563500_1.fastq.gz	DNA	Frac_0.2	SRR15563500
RawFastqs/SRR15563500_2.fastq.gz	DNA	Frac_0.2	SRR15563500
RawFastqs/SRR15563501_1.fastq.gz	DNA	Frac_0.2	SRR15563501
RawFastqs/SRR15563501_2.fastq.gz	DNA	Frac_0.2	SRR15563501
RawFastqs/SRR15563502_1.fastq.gz	DNA	Frac_0.2	SRR15563502
RawFastqs/SRR15563502_2.fastq.gz	DNA	Frac_0.2	SRR15563502
RawFastqs/SRR15563679_1.fastq.gz	DNA	Frac_0.2	SRR15563679
RawFastqs/SRR15563679_2.fastq.gz	DNA	Frac_0.2	SRR15563679
RawFastqs/SRR15563680_1.fastq.gz	DNA	Frac_0.2	SRR15563680
RawFastqs/SRR15563680_2.fastq.gz	DNA	Frac_0.2	SRR15563680
RawFastqs/SRR15563681_1.fastq.gz	DNA	Frac_0.2	SRR15563681
RawFastqs/SRR15563681_2.fastq.gz	DNA	Frac_0.2	SRR15563681
RawFastqs/SRR15563682_1.fastq.gz	DNA	Frac_0.2	SRR15563682
RawFastqs/SRR15563682_2.fastq.gz	DNA	Frac_0.2	SRR15563682
RawFastqs/SRR15563683_1.fastq.gz	DNA	Frac_0.2	SRR15563683
RawFastqs/SRR15563683_2.fastq.gz	DNA	Frac_0.2	SRR15563683
RawFastqs/SRR15563684_1.fastq.gz	DNA	Frac_0.2	SRR15563684
RawFastqs/SRR15563684_2.fastq.gz	DNA	Frac_0.2	SRR15563684
RawFastqs/SRR15563685_1.fastq.gz	DNA	Frac_0.2	SRR15563685
RawFastqs/SRR15563685_2.fastq.gz	DNA	Frac_0.2	SRR15563685
RawFastqs/SRR15563686_1.fastq.gz	DNA	Frac_0.2	SRR15563686
RawFastqs/SRR15563686_2.fastq.gz	DNA	Frac_0.2	SRR15563686
RawFastqs/SRR15563687_1.fastq.gz	DNA	Frac_0.2	SRR15563687
