ids1	ids2
AUID.855	AUID.855
AUID.857	AUID.857
AUID.858	AUID.867
AUID.860	AUID.887
AUID.861	AUID.898
AUID.864	AUID.930
AUID.865	AUID.933
AUID.866	AUID.858
AUID.867	AUID.859
AUID.868	AUID.860
AUID.869	AUID.861
AUID.871	AUID.863
AUID.873	AUID.865
AUID.874	AUID.866
AUID.875	AUID.868
AUID.876	AUID.869
AUID.877	AUID.870
AUID.878	AUID.871
AUID.881	AUID.874
AUID.883	AUID.877
AUID.886	AUID.880
AUID.887	AUID.881
AUID.888	AUID.882
AUID.896	AUID.891
AUID.904	AUID.900
AUID.910	AUID.906
AUID.934	AUID.951
AUID.935	AUID.959
AUID.936	AUID.960
AUID.937	AUID.961
AUID.938	AUID.962
AUID.939	AUID.934
AUID.940	AUID.935
AUID.941	AUID.936
AUID.947	AUID.942
AUID.948	AUID.943
AUID.963	AUID.1006
AUID.964	AUID.1035
AUID.965	AUID.1045
AUID.966	AUID.963
AUID.967	AUID.972
AUID.968	AUID.974
AUID.970	AUID.976
AUID.971	AUID.977
AUID.972	AUID.978
AUID.975	AUID.981
AUID.976	AUID.982
AUID.977	AUID.983
AUID.981	AUID.987
AUID.982	AUID.988
AUID.983	AUID.989
AUID.985	AUID.991
AUID.986	AUID.992
AUID.987	AUID.993
AUID.988	AUID.994
AUID.990	AUID.996
AUID.994	AUID.1000
AUID.1016	AUID.1023
AUID.1017	AUID.1024
AUID.1025	AUID.1032
AUID.1031	AUID.1039
AUID.1033	AUID.1041
AUID.1036	AUID.1044
AUID.1055	AUID.1055
AUID.1056	AUID.1716
AUID.1057	AUID.1822
AUID.1058	AUID.1928
AUID.1059	AUID.2026
AUID.1060	AUID.2131
AUID.1061	AUID.2235
AUID.1062	AUID.2327
AUID.1063	AUID.2427
AUID.1064	AUID.1056
AUID.1065	AUID.1153
AUID.1066	AUID.1251
AUID.1067	AUID.1352
AUID.1068	AUID.1450
AUID.1069	AUID.1547
AUID.1070	AUID.1652
AUID.1071	AUID.1684
AUID.1072	AUID.1695
AUID.1073	AUID.1705
AUID.1074	AUID.1717
AUID.1075	AUID.1726
AUID.1076	AUID.1736
AUID.1077	AUID.1747
AUID.1078	AUID.1757
AUID.1079	AUID.1768
AUID.1080	AUID.1779
AUID.1081	AUID.1790
AUID.1082	AUID.1800
AUID.1083	AUID.1811
AUID.1084	AUID.1823
AUID.1085	AUID.1833
AUID.1086	AUID.1843
AUID.1087	AUID.1854
AUID.1088	AUID.1865
AUID.1089	AUID.1876
AUID.1090	AUID.1886
AUID.1091	AUID.1897
AUID.1092	AUID.1907
AUID.1093	AUID.1918
AUID.1094	AUID.1929
AUID.1095	AUID.1938
AUID.1096	AUID.1948
AUID.1097	AUID.1958
AUID.1098	AUID.1967
