asvLen	totReads	numSamps
ASV.1260	229	7	1
ASV.1261	223	7	2
ASV.1262	309	7	1
ASV.1263	214	7	1
ASV.1264	202	7	2
ASV.1265	190	7	1
ASV.1267	293	7	1
ASV.1268	249	7	1
ASV.1269	200	7	1
ASV.1270	330	7	1
ASV.1271	307	7	1
ASV.1272	273	7	1
ASV.1273	223	7	1
ASV.1274	326	7	1
ASV.1275	219	7	1
ASV.1277	342	7	1
ASV.1278	252	7	1
ASV.1279	304	7	1
ASV.1280	208	7	1
ASV.1281	219	7	1
ASV.1282	268	7	1
ASV.1284	190	7	1
ASV.1286	238	7	1
ASV.1291	328	7	1
ASV.1292	325	7	1
ASV.1294	234	7	1
ASV.1296	222	7	2
ASV.1298	184	7	1
ASV.1302	274	7	1
ASV.1304	222	7	1
ASV.1305	218	7	2
ASV.1306	199	7	1
ASV.1307	255	7	1
ASV.1310	240	7	1
ASV.1311	280	7	1
ASV.1313	215	7	1
ASV.1314	289	7	1
ASV.1315	226	7	1
ASV.1316	196	7	2
ASV.1317	342	7	1
ASV.1318	223	7	1
ASV.1319	335	7	1
ASV.1320	215	7	1
ASV.1321	320	7	1
ASV.1322	253	7	1
ASV.1326	293	7	1
ASV.1327	318	7	1
ASV.1328	274	7	1
ASV.1329	191	7	1
ASV.1330	196	6	1
ASV.1368	325	6	1
ASV.1376	331	6	1
ASV.1377	194	6	1
ASV.1378	289	6	1
ASV.1379	257	6	1
ASV.1380	290	6	1
ASV.1381	198	6	1
ASV.1382	212	6	1
ASV.1383	190	6	1
ASV.1384	338	6	1
ASV.1385	199	6	1
ASV.1386	294	6	1
ASV.1387	288	6	1
ASV.1388	222	6	1
ASV.1389	227	6	1
ASV.1390	304	6	1
ASV.1391	206	6	1
ASV.1392	216	6	1
ASV.1393	235	6	1
ASV.1394	204	6	1
ASV.1395	323	6	1
ASV.1396	202	6	1
ASV.1397	295	6	1
ASV.1398	215	6	1
ASV.1399	335	6	1
ASV.1402	241	6	1
ASV.1409	182	6	1
ASV.1410	328	6	1
ASV.1414	221	6	1
ASV.1415	228	6	1
ASV.1416	305	6	1
ASV.1417	282	6	1
ASV.1418	221	6	1
ASV.1419	288	6	1
ASV.1420	229	6	1
ASV.1422	328	6	1
ASV.1424	246	6	1
ASV.1425	271	6	1
ASV.1426	298	6	1
ASV.1427	287	6	1
ASV.1432	205	6	1
ASV.1433	328	6	1
ASV.1434	242	6	1
ASV.1435	184	6	1
ASV.1437	203	6	2
ASV.1438	276	6	1
ASV.1439	219	6	1
ASV.1440	200	6	1
ASV.1441	334	6	1
ASV.1487	250	5	1
ASV.1491	214	5	1
ASV.1494	328	5	2
ASV.1495	325	5	1
ASV.1499	246	5	2
ASV.1504	205	5	1
ASV.1505	343	5	1
ASV.1507	230	5	1
ASV.1508	341	5	1
ASV.1509	188	5	1
ASV.1510	348	5	1
ASV.1511	207	5	1
ASV.1512	262	5	1
ASV.1515	328	5	1
ASV.1516	294	5	1
ASV.1517	195	5	2
ASV.1518	335	5	1
ASV.1520	277	5	2
ASV.1521	258	5	1
ASV.1523	342	5	1
ASV.1524	241	5	1
ASV.1526	234	5	1
ASV.1527	333	5	1
ASV.1528	325	5	1
ASV.1529	203	5	1
ASV.1530	260	5	1
ASV.1532	268	5	1
ASV.1533	200	5	1
ASV.1534	330	5	1
ASV.1535	326	5	1
ASV.1537	237	5	1
ASV.1539	326	5	1
ASV.1541	253	5	1
ASV.1543	325	5	1
ASV.1547	184	5	1
ASV.1548	325	5	1
ASV.1553	204	5	1
ASV.1558	296	5	1
ASV.1559	268	5	1
ASV.1561	190	5	1
ASV.1562	204	5	1
ASV.1563	225	5	1
ASV.1564	309	5	1
ASV.1566	325	5	1
ASV.1568	186	5	1
ASV.1569	235	5	1
ASV.1571	296	5	1
ASV.1572	237	5	1
ASV.1573	187	5	1
ASV.1574	279	5	1
ASV.1575	225	5	1
ASV.1576	281	5	1
ASV.1582	284	5	1
ASV.1583	328	5	1
ASV.1584	302	5	1
ASV.1585	299	5	1
ASV.1586	286	5	1
ASV.1587	204	5	1
ASV.1588	193	5	1
ASV.1589	228	5	2
ASV.1590	312	5	1
ASV.1591	213	5	1
ASV.1592	306	5	1
ASV.1600	259	4	1
ASV.1625	208	4	1
ASV.1654	199	4	1
ASV.1656	328	4	1
ASV.1657	242	4	1
ASV.1659	319	4	1
ASV.1669	288	4	1
ASV.1673	262	4	1
ASV.1674	181	4	1
ASV.1675	254	4	1
ASV.1676	240	4	1
ASV.1679	251	4	1
ASV.1680	192	4	1
ASV.1681	194	4	1
ASV.1682	200	4	1
ASV.1685	185	4	1
ASV.1686	213	4	1
ASV.1687	187	4	1
ASV.1688	262	4	1
ASV.1691	190	4	2
ASV.1692	336	4	1
ASV.1695	251	4	1
ASV.1696	270	4	1
ASV.1697	271	4	1
ASV.1698	266	4	1
ASV.1699	223	4	1
ASV.1700	220	4	1
ASV.1703	292	4	1
ASV.1704	308	4	1
ASV.1705	259	4	1
ASV.1706	259	4	1
ASV.1707	261	4	1
ASV.1708	218	4	1
ASV.1709	189	4	1
ASV.1710	211	4	1
ASV.1711	205	4	1
ASV.1712	280	4	1
ASV.1713	321	4	1
ASV.1714	186	4	1
ASV.1715	266	4	1
ASV.1716	300	4	1
ASV.1718	248	4	1
ASV.1723	196	4	1
ASV.1726	293	4	1
ASV.1735	325	4	1
ASV.1737	328	4	1
ASV.1740	200	4	1
ASV.1741	325	4	1
ASV.1746	228	4	1
ASV.1748	192	4	2
ASV.1758	252	4	1
ASV.1759	182	4	1
ASV.1760	194	4	1
ASV.1763	207	4	1
ASV.1764	304	4	1
ASV.1765	228	4	1
ASV.1766	285	4	1
ASV.1768	306	4	1
ASV.1769	281	4	1
ASV.1770	268	4	1
ASV.1771	325	4	1
ASV.1772	275	4	1
ASV.1773	303	4	1
ASV.1774	348	4	1
ASV.1775	247	4	1
ASV.1776	184	4	1
ASV.1777	340	4	1
ASV.1778	247	4	1
ASV.1779	347	4	1
ASV.1780	195	4	1
ASV.1781	219	4	1
ASV.1782	320	4	1
ASV.1783	328	4	1
ASV.1784	237	4	1
ASV.1785	220	4	1
ASV.1786	221	4	1
ASV.1796	222	4	1
ASV.1797	229	4	1
ASV.1798	184	4	1
ASV.1799	226	4	1
ASV.1800	254	4	1
ASV.1801	257	4	1
ASV.1802	209	4	1
ASV.1803	296	4	1
ASV.1804	217	4	1
ASV.1805	265	4	1
ASV.1806	182	4	1
ASV.1807	258	4	1
ASV.1808	201	4	1
ASV.1811	328	3	1
ASV.1862	325	3	1
ASV.1881	229	3	1
ASV.1883	192	3	1
ASV.1888	184	3	1
ASV.1889	227	3	1
ASV.1892	182	3	1
ASV.1894	342	3	1
ASV.1905	191	3	1
ASV.1909	210	3	1
ASV.1910	216	3	1
ASV.1911	336	3	1
ASV.1912	293	3	1
ASV.1913	235	3	1
ASV.1914	196	3	1
ASV.1915	195	3	1
ASV.1916	269	3	1
ASV.1917	192	3	1
ASV.1918	328	3	1
ASV.1919	189	3	1
ASV.1920	245	3	1
ASV.1925	251	3	1
ASV.1926	226	3	1
ASV.1927	292	3	1
ASV.1929	223	3	1
ASV.1930	341	3	1
ASV.1931	204	3	1
ASV.1932	242	3	1
ASV.1933	273	3	1
ASV.1934	260	3	1
ASV.1935	265	3	1
ASV.1936	327	3	1
ASV.1937	268	3	1
ASV.1938	326	3	1
ASV.1939	337	3	1
ASV.1940	307	3	1
ASV.1943	206	3	1
ASV.1944	295	3	1
ASV.1945	303	3	1
ASV.1946	259	3	1
ASV.1947	184	3	1
ASV.1948	250	3	1
ASV.1949	199	3	1
ASV.1950	245	3	1
ASV.1951	238	3	1
ASV.1952	241	3	1
ASV.1953	302	3	1
ASV.1954	227	3	1
ASV.1955	244	3	1
ASV.1956	272	3	1
ASV.1958	285	3	1
ASV.1959	198	3	1
ASV.1960	237	3	1
ASV.1961	293	3	1
ASV.1962	304	3	1
ASV.1963	234	3	1
ASV.1964	266	3	1
ASV.1965	230	3	1
ASV.1966	269	3	1
ASV.1967	331	3	1
ASV.1968	201	3	1
ASV.1969	274	3	1
ASV.1970	271	3	1
ASV.1971	342	3	1
ASV.1972	231	3	1
ASV.1973	285	3	1
ASV.1974	253	3	1
ASV.1983	326	3	1
ASV.1986	272	3	1
ASV.1987	254	3	1
ASV.1989	273	3	1
ASV.1998	187	3	1
ASV.1999	192	3	1
ASV.2000	201	3	1
ASV.2002	224	3	1
ASV.2003	273	3	1
ASV.2004	290	3	1
ASV.2005	209	3	1
ASV.2006	222	3	1
ASV.2007	182	3	1
ASV.2008	181	3	1
ASV.2009	282	3	1
ASV.2010	302	3	1
ASV.2011	304	3	1
ASV.2012	209	3	1
ASV.2015	310	3	1
ASV.2017	227	3	1
ASV.2018	256	3	1
ASV.2019	241	3	1
ASV.2020	230	3	1
ASV.2021	279	3	1
ASV.2022	311	3	1
ASV.2023	184	3	1
ASV.2024	198	3	1
ASV.2025	203	3	1
ASV.2026	267	3	1
ASV.2027	325	3	1
ASV.2039	207	3	1
ASV.2040	239	3	1
ASV.2041	242	3	1
ASV.2042	238	3	1
ASV.2043	339	3	1
ASV.2044	333	3	1
ASV.2045	203	3	1
ASV.2046	184	3	1
ASV.2047	291	3	1
ASV.2048	232	3	1
ASV.2049	237	3	1
ASV.2050	225	3	1
ASV.2051	212	3	1
ASV.2052	253	3	1
ASV.2053	185	3	1
ASV.2054	183	3	1
ASV.2055	218	3	1
ASV.2056	242	3	1
ASV.2074	290	2	1
ASV.2075	185	2	1
ASV.2094	328	2	1
ASV.2131	325	2	1
ASV.2132	325	2	1
ASV.2154	230	2	1
ASV.2159	230	2	1
ASV.2160	252	2	1
ASV.2161	202	2	1
ASV.2164	196	2	1
ASV.2165	199	2	1
ASV.2166	192	2	1
ASV.2171	306	2	1
ASV.2173	181	2	1
ASV.2192	263	2	1
ASV.2194	205	2	1
ASV.2199	184	2	1
ASV.2200	239	2	1
ASV.2201	183	2	1
ASV.2202	203	2	1
ASV.2203	252	2	1
ASV.2204	197	2	1
ASV.2205	334	2	1
ASV.2207	191	2	1
ASV.2208	242	2	1
ASV.2209	195	2	1
ASV.2210	210	2	1
ASV.2212	268	2	1
ASV.2213	221	2	1
ASV.2214	316	2	1
ASV.2215	264	2	1
ASV.2216	216	2	1
ASV.2219	217	2	1
ASV.2220	220	2	1
ASV.2221	318	2	1
ASV.2222	235	2	1
ASV.2223	280	2	1
ASV.2224	309	2	1
ASV.2225	305	2	1
ASV.2226	210	2	1
ASV.2227	229	2	1
ASV.2232	216	2	1
ASV.2233	216	2	1
ASV.2234	225	2	1
ASV.2235	279	2	1
ASV.2236	202	2	1
ASV.2237	181	2	1
ASV.2238	306	2	1
ASV.2240	246	2	1
ASV.2241	208	2	1
ASV.2242	185	2	1
ASV.2243	292	2	1
ASV.2245	212	2	1
ASV.2246	195	2	1
ASV.2247	342	2	1
ASV.2248	342	2	1
ASV.2249	187	2	1
ASV.2250	217	2	1
ASV.2251	190	2	1
ASV.2252	201	2	1
ASV.2253	289	2	1
ASV.2254	281	2	1
ASV.2255	202	2	1
ASV.2256	346	2	1
ASV.2257	332	2	1
ASV.2258	308	2	1
ASV.2259	269	2	1
ASV.2266	191	2	1
ASV.2267	192	2	1
ASV.2268	253	2	1
ASV.2269	268	2	1
ASV.2270	230	2	1
ASV.2271	237	2	1
ASV.2272	256	2	1
ASV.2273	227	2	1
ASV.2274	190	2	1
ASV.2275	188	2	1
ASV.2276	316	2	1
ASV.2277	223	2	1
ASV.2278	234	2	1
ASV.2280	226	2	1
ASV.2281	309	2	1
ASV.2282	292	2	1
ASV.2283	183	2	1
ASV.2284	246	2	1
ASV.2285	318	2	1
ASV.2286	235	2	1
ASV.2287	211	2	1
ASV.2288	251	2	1
ASV.2289	231	2	1
ASV.2291	348	2	1
ASV.2292	299	2	1
ASV.2293	285	2	1
ASV.2294	274	2	1
ASV.2295	266	2	1
ASV.2296	205	2	1
ASV.2297	204	2	1
ASV.2298	350	2	1
ASV.2299	292	2	1
ASV.2304	208	2	1
ASV.2305	184	2	1
ASV.2319	183	2	1
ASV.2326	184	2	1
ASV.2327	205	2	1
ASV.2328	228	2	1
ASV.2335	244	2	1
ASV.2336	196	2	1
ASV.2340	184	2	1
ASV.2341	186	2	1
ASV.2347	184	2	1
ASV.2348	199	2	1
ASV.2349	216	2	1
ASV.2350	274	2	1
ASV.2351	196	2	1
ASV.2355	255	2	1
ASV.2356	257	2	1
ASV.2357	253	2	1
ASV.2358	325	2	1
ASV.2359	202	2	1
ASV.2362	187	2	1
ASV.2363	260	2	1
ASV.2364	188	2	1
ASV.2365	208	2	1
ASV.2367	184	2	1
ASV.2368	187	2	1
ASV.2369	304	2	1
ASV.2370	200	2	1
ASV.2371	256	2	1
ASV.2373	190	2	1
ASV.2374	207	2	1
ASV.2375	297	2	1
ASV.2377	302	2	1
ASV.2378	295	2	1
ASV.2379	259	2	1
ASV.2380	253	2	1
ASV.2381	183	2	1
ASV.2382	191	2	1
ASV.2383	261	2	1
ASV.2384	286	2	1
ASV.2385	340	2	1
ASV.2386	293	2	1
ASV.2387	337	2	1
ASV.2388	196	2	1
ASV.2389	221	2	1
ASV.2390	343	2	1
ASV.2391	204	2	1
ASV.2392	263	2	1
ASV.2393	239	2	1
ASV.2394	182	2	1
ASV.2395	188	2	1
ASV.2396	210	2	1
ASV.2415	288	2	1
ASV.2416	186	2	1
ASV.2417	325	2	1
ASV.2418	225	2	1
ASV.2419	205	2	1
ASV.2420	191	2	1
ASV.2421	249	2	1
ASV.2425	289	2	1
ASV.2426	203	2	1
ASV.2427	225	2	1
ASV.2429	262	2	1
