SRR13612837	SRR13612838	SRR13612840	SRR13612903	SRR13612904	SRR13612905	SRR13612906
ASV.225	0	0	0	22	0	0	0
ASV.226	0	0	0	22	0	0	0
ASV.227	0	0	0	22	0	0	0
ASV.228	0	0	0	0	22	0	0
ASV.229	0	0	0	0	22	0	0
ASV.230	14	7	0	0	0	0	0
ASV.231	0	0	0	21	0	0	0
ASV.232	0	0	0	21	0	0	0
ASV.233	0	0	0	0	21	0	0
ASV.234	0	0	0	0	21	0	0
ASV.236	0	0	0	20	0	0	0
ASV.237	0	0	0	20	0	0	0
ASV.238	0	0	0	7	10	3	0
ASV.239	0	0	0	0	20	0	0
ASV.240	0	0	0	0	14	6	0
ASV.241	0	0	0	0	20	0	0
ASV.242	19	0	0	0	0	0	0
ASV.243	0	13	0	0	6	0	0
ASV.244	0	0	0	10	9	0	0
ASV.245	0	0	0	0	13	6	0
ASV.246	0	0	0	0	19	0	0
ASV.247	0	0	0	0	0	12	7
ASV.248	0	0	0	0	0	19	0
ASV.251	0	0	0	18	0	0	0
ASV.253	0	0	0	0	18	0	0
ASV.254	0	0	0	0	0	18	0
ASV.255	0	0	0	0	0	10	8
ASV.256	0	0	0	0	0	18	0
ASV.257	0	0	0	0	0	18	0
ASV.258	0	0	0	0	0	18	0
ASV.261	0	0	17	0	0	0	0
ASV.263	0	0	0	17	0	0	0
ASV.264	0	0	0	17	0	0	0
ASV.266	0	0	0	0	17	0	0
ASV.269	0	16	0	0	0	0	0
ASV.271	0	0	0	0	11	5	0
ASV.272	0	0	0	0	0	16	0
ASV.273	0	0	0	0	0	0	16
ASV.274	15	0	0	0	0	0	0
ASV.276	0	0	15	0	0	0	0
ASV.277	0	0	0	15	0	0	0
ASV.278	0	0	0	15	0	0	0
ASV.279	0	0	0	15	0	0	0
ASV.280	0	0	0	0	15	0	0
ASV.284	0	6	8	0	0	0	0
ASV.285	0	0	0	0	8	0	6
ASV.286	0	0	0	0	14	0	0
ASV.287	0	0	0	0	0	14	0
ASV.288	0	0	0	0	0	0	14
ASV.289	0	0	0	0	0	0	14
ASV.290	4	0	0	9	0	0	0
ASV.292	0	0	0	13	0	0	0
ASV.293	0	0	0	13	0	0	0
ASV.294	0	0	0	13	0	0	0
ASV.295	0	0	0	0	13	0	0
ASV.296	0	0	0	0	13	0	0
ASV.297	0	0	0	0	0	0	13
ASV.300	0	0	12	0	0	0	0
ASV.301	0	0	0	12	0	0	0
ASV.302	0	0	0	12	0	0	0
ASV.303	0	0	0	12	0	0	0
ASV.304	0	0	0	12	0	0	0
ASV.305	0	0	0	0	12	0	0
ASV.306	0	0	0	0	12	0	0
ASV.307	0	0	0	0	0	0	12
ASV.308	11	0	0	0	0	0	0
ASV.309	11	0	0	0	0	0	0
ASV.310	0	11	0	0	0	0	0
ASV.314	0	0	0	11	0	0	0
ASV.315	0	0	0	0	11	0	0
ASV.316	0	0	0	0	11	0	0
ASV.317	0	0	0	0	11	0	0
ASV.318	10	0	0	0	0	0	0
ASV.325	0	0	10	0	0	0	0
ASV.326	0	0	10	0	0	0	0
ASV.327	0	0	0	10	0	0	0
ASV.328	0	0	0	10	0	0	0
ASV.329	0	0	0	10	0	0	0
ASV.330	0	0	0	10	0	0	0
ASV.331	0	0	0	10	0	0	0
ASV.333	0	0	0	0	10	0	0
ASV.334	0	0	0	0	10	0	0
ASV.335	0	0	0	0	10	0	0
ASV.336	0	0	0	0	5	0	5
ASV.337	0	0	0	0	10	0	0
ASV.338	0	0	0	0	10	0	0
ASV.340	0	0	0	0	0	0	10
ASV.341	9	0	0	0	0	0	0
ASV.345	0	0	0	9	0	0	0
ASV.346	0	0	0	9	0	0	0
ASV.347	0	0	0	9	0	0	0
ASV.348	0	0	0	9	0	0	0
ASV.349	0	0	0	0	9	0	0
ASV.350	0	0	0	0	9	0	0
ASV.351	0	0	0	0	5	4	0
ASV.352	0	0	0	0	9	0	0
ASV.353	0	0	0	0	9	0	0
ASV.354	0	0	0	0	9	0	0
ASV.355	0	0	0	0	9	0	0
ASV.356	0	0	0	0	9	0	0
ASV.357	0	0	0	0	0	3	6
ASV.358	0	0	0	0	0	9	0
ASV.359	0	0	0	0	0	0	9
ASV.360	0	0	0	0	0	0	9
ASV.362	0	8	0	0	0	0	0
ASV.364	0	0	0	8	0	0	0
ASV.365	0	0	0	8	0	0	0
ASV.366	0	0	0	8	0	0	0
ASV.367	0	0	0	8	0	0	0
ASV.368	0	0	0	8	0	0	0
ASV.369	0	0	0	8	0	0	0
ASV.370	0	0	0	8	0	0	0
ASV.371	0	0	0	8	0	0	0
ASV.372	0	0	0	8	0	0	0
ASV.373	0	0	0	8	0	0	0
ASV.374	0	0	0	8	0	0	0
ASV.375	0	0	0	0	8	0	0
ASV.376	0	0	0	0	8	0	0
ASV.377	0	0	0	0	8	0	0
ASV.378	0	0	0	0	0	8	0
ASV.379	0	0	0	0	0	8	0
ASV.380	0	0	0	0	0	8	0
ASV.381	0	0	0	0	0	0	8
ASV.382	0	0	0	0	0	0	8
ASV.383	0	0	0	0	0	0	8
ASV.384	0	0	0	0	0	0	8
ASV.385	7	0	0	0	0	0	0
ASV.386	7	0	0	0	0	0	0
ASV.393	0	0	0	7	0	0	0
ASV.394	0	0	0	7	0	0	0
ASV.395	0	0	0	4	3	0	0
ASV.396	0	0	0	7	0	0	0
ASV.397	0	0	0	7	0	0	0
ASV.398	0	0	0	7	0	0	0
ASV.399	0	0	0	2	0	0	5
ASV.400	0	0	0	7	0	0	0
ASV.401	0	0	0	7	0	0	0
ASV.403	0	0	0	0	7	0	0
ASV.404	0	0	0	0	7	0	0
ASV.405	0	0	0	0	7	0	0
ASV.406	0	0	0	0	7	0	0
ASV.407	0	0	0	0	7	0	0
ASV.408	0	0	0	0	0	7	0
ASV.409	0	0	0	0	0	7	0
ASV.410	0	0	0	0	0	7	0
ASV.411	6	0	0	0	0	0	0
ASV.412	6	0	0	0	0	0	0
ASV.414	0	6	0	0	0	0	0
ASV.415	0	6	0	0	0	0	0
ASV.416	0	6	0	0	0	0	0
ASV.417	0	6	0	0	0	0	0
ASV.427	0	0	0	6	0	0	0
ASV.428	0	0	0	6	0	0	0
ASV.429	0	0	0	6	0	0	0
ASV.430	0	0	0	6	0	0	0
ASV.431	0	0	0	6	0	0	0
ASV.432	0	0	0	6	0	0	0
ASV.433	0	0	0	6	0	0	0
ASV.434	0	0	0	6	0	0	0
ASV.436	0	0	0	0	6	0	0
ASV.437	0	0	0	0	6	0	0
ASV.438	0	0	0	0	6	0	0
ASV.439	0	0	0	0	6	0	0
ASV.440	0	0	0	0	6	0	0
ASV.441	0	0	0	0	6	0	0
ASV.442	0	0	0	0	6	0	0
ASV.443	0	0	0	0	6	0	0
ASV.444	0	0	0	0	6	0	0
ASV.445	0	0	0	0	6	0	0
ASV.446	0	0	0	0	6	0	0
ASV.447	0	0	0	0	6	0	0
ASV.448	0	0	0	0	6	0	0
ASV.449	0	0	0	0	6	0	0
ASV.450	0	0	0	0	6	0	0
ASV.451	0	0	0	0	6	0	0
ASV.452	0	0	0	0	0	6	0
ASV.453	0	0	0	0	0	6	0
ASV.454	0	0	0	0	0	6	0
ASV.455	0	0	0	0	0	0	6
ASV.456	0	0	0	0	0	0	6
ASV.457	0	0	0	0	0	0	6
ASV.458	0	0	0	0	0	0	6
ASV.459	0	0	0	0	0	0	6
ASV.460	0	0	0	0	0	0	6
ASV.461	0	0	0	0	0	0	6
ASV.462	0	0	0	0	0	0	6
ASV.463	5	0	0	0	0	0	0
ASV.464	5	0	0	0	0	0	0
ASV.465	5	0	0	0	0	0	0
ASV.466	5	0	0	0	0	0	0
ASV.467	5	0	0	0	0	0	0
ASV.468	5	0	0	0	0	0	0
ASV.469	5	0	0	0	0	0	0
ASV.473	0	5	0	0	0	0	0
