#Source	Type	SizeFrac	SampName
RawFastqs/SRR10759600_2.fastq.gz	DNA	Frac_0.2	SRR10759600
RawFastqs/SRR10759601_1.fastq.gz	DNA	Frac_0.2	SRR10759601
RawFastqs/SRR10759601_2.fastq.gz	DNA	Frac_0.2	SRR10759601
RawFastqs/SRR10759602_1.fastq.gz	DNA	Frac_0.2	SRR10759602
RawFastqs/SRR10759602_2.fastq.gz	DNA	Frac_0.2	SRR10759602
RawFastqs/SRR10759603_1.fastq.gz	DNA	Frac_0.2	SRR10759603
RawFastqs/SRR10759603_2.fastq.gz	DNA	Frac_0.2	SRR10759603
RawFastqs/SRR10759604_1.fastq.gz	DNA	Frac_0.2	SRR10759604
RawFastqs/SRR10759604_2.fastq.gz	DNA	Frac_0.2	SRR10759604
RawFastqs/SRR10759605_1.fastq.gz	DNA	Frac_0.2	SRR10759605
RawFastqs/SRR10759605_2.fastq.gz	DNA	Frac_0.2	SRR10759605
RawFastqs/SRR10759606_1.fastq.gz	DNA	Frac_0.2	SRR10759606
RawFastqs/SRR10759606_2.fastq.gz	DNA	Frac_0.2	SRR10759606
RawFastqs/SRR10759607_1.fastq.gz	DNA	Frac_0.2	SRR10759607
RawFastqs/SRR10759607_2.fastq.gz	DNA	Frac_0.2	SRR10759607
RawFastqs/SRR10759608_1.fastq.gz	DNA	Frac_0.2	SRR10759608
RawFastqs/SRR10759608_2.fastq.gz	DNA	Frac_0.2	SRR10759608
RawFastqs/SRR10759609_1.fastq.gz	DNA	Frac_0.2	SRR10759609
RawFastqs/SRR10759609_2.fastq.gz	DNA	Frac_0.2	SRR10759609
RawFastqs/SRR10759610_1.fastq.gz	DNA	Frac_0.2	SRR10759610
RawFastqs/SRR10759610_2.fastq.gz	DNA	Frac_0.2	SRR10759610
RawFastqs/SRR10759611_1.fastq.gz	DNA	Frac_0.2	SRR10759611
RawFastqs/SRR10759611_2.fastq.gz	DNA	Frac_0.2	SRR10759611
RawFastqs/SRR10759612_1.fastq.gz	DNA	Frac_0.2	SRR10759612
RawFastqs/SRR10759612_2.fastq.gz	DNA	Frac_0.2	SRR10759612
RawFastqs/SRR10759613_1.fastq.gz	DNA	Frac_0.2	SRR10759613
RawFastqs/SRR10759613_2.fastq.gz	DNA	Frac_0.2	SRR10759613
RawFastqs/SRR10759614_1.fastq.gz	DNA	Frac_0.2	SRR10759614
RawFastqs/SRR10759614_2.fastq.gz	DNA	Frac_0.2	SRR10759614
RawFastqs/SRR10759615_1.fastq.gz	DNA	Frac_0.2	SRR10759615
RawFastqs/SRR10759615_2.fastq.gz	DNA	Frac_0.2	SRR10759615
RawFastqs/SRR10759616_1.fastq.gz	DNA	Frac_0.2	SRR10759616
RawFastqs/SRR10759616_2.fastq.gz	DNA	Frac_0.2	SRR10759616
RawFastqs/SRR10759617_1.fastq.gz	DNA	Frac_0.2	SRR10759617
RawFastqs/SRR10759617_2.fastq.gz	DNA	Frac_0.2	SRR10759617
RawFastqs/SRR10759618_1.fastq.gz	DNA	Frac_0.2	SRR10759618
RawFastqs/SRR10759618_2.fastq.gz	DNA	Frac_0.2	SRR10759618
RawFastqs/SRR10759619_1.fastq.gz	DNA	Frac_0.2	SRR10759619
RawFastqs/SRR10759619_2.fastq.gz	DNA	Frac_0.2	SRR10759619
RawFastqs/SRR10759620_1.fastq.gz	DNA	Frac_0.2	SRR10759620
RawFastqs/SRR10759620_2.fastq.gz	DNA	Frac_0.2	SRR10759620
RawFastqs/SRR10759621_1.fastq.gz	DNA	Frac_0.2	SRR10759621
RawFastqs/SRR10759621_2.fastq.gz	DNA	Frac_0.2	SRR10759621
RawFastqs/SRR10759622_1.fastq.gz	DNA	Frac_0.2	SRR10759622
RawFastqs/SRR10759622_2.fastq.gz	DNA	Frac_0.2	SRR10759622
RawFastqs/SRR10759623_1.fastq.gz	DNA	Frac_0.2	SRR10759623
RawFastqs/SRR10759623_2.fastq.gz	DNA	Frac_0.2	SRR10759623
RawFastqs/SRR10759624_1.fastq.gz	DNA	Frac_0.2	SRR10759624
RawFastqs/SRR10759624_2.fastq.gz	DNA	Frac_0.2	SRR10759624
RawFastqs/SRR10759625_1.fastq.gz	DNA	Frac_0.2	SRR10759625
RawFastqs/SRR10759625_2.fastq.gz	DNA	Frac_0.2	SRR10759625
