SRR1178399	SRR1178406	SRR1178373	SRR1178374	SRR1178375	SRR1178376	SRR1178377	SRR1178378	SRR1178393	SRR1178394	SRR1178395	SRR1178396	SRR1178397	SRR1178398
ASV.318	0	0	16	0	0	0	0	0	0	0	14	0	0	0
ASV.319	0	0	0	0	0	0	0	30	0	0	0	0	0	0
ASV.320	0	0	0	0	0	0	0	19	0	0	11	0	0	0
ASV.321	0	0	0	0	0	0	0	0	30	0	0	0	0	0
ASV.322	29	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.323	0	0	0	0	29	0	0	0	0	0	0	0	0	0
ASV.324	0	0	0	0	29	0	0	0	0	0	0	0	0	0
ASV.325	0	0	0	0	29	0	0	0	0	0	0	0	0	0
ASV.326	0	0	0	0	0	0	29	0	0	0	0	0	0	0
ASV.327	0	0	0	0	0	0	0	0	0	29	0	0	0	0
ASV.328	0	0	0	0	0	0	0	0	0	29	0	0	0	0
ASV.329	0	0	0	0	0	0	0	0	0	29	0	0	0	0
ASV.330	0	0	0	0	0	0	28	0	0	0	0	0	0	0
ASV.331	0	0	0	0	0	0	28	0	0	0	0	0	0	0
ASV.332	0	0	0	0	0	0	0	18	10	0	0	0	0	0
ASV.333	0	0	0	0	0	0	0	0	28	0	0	0	0	0
ASV.334	0	0	0	0	0	0	0	0	0	28	0	0	0	0
ASV.335	0	0	0	0	27	0	0	0	0	0	0	0	0	0
ASV.336	0	0	0	0	0	0	0	0	27	0	0	0	0	0
ASV.337	0	0	0	0	0	0	0	0	0	27	0	0	0	0
ASV.338	0	0	0	0	0	0	0	0	0	27	0	0	0	0
ASV.339	0	0	0	0	26	0	0	0	0	0	0	0	0	0
ASV.340	0	0	0	0	26	0	0	0	0	0	0	0	0	0
ASV.341	0	0	0	0	0	0	0	0	26	0	0	0	0	0
ASV.342	0	0	0	0	0	0	0	0	26	0	0	0	0	0
ASV.343	0	0	0	0	0	0	0	0	0	26	0	0	0	0
ASV.344	0	0	0	0	0	0	0	0	0	26	0	0	0	0
ASV.345	0	0	0	0	0	0	0	0	0	0	0	26	0	0
ASV.346	0	0	25	0	0	0	0	0	0	0	0	0	0	0
ASV.347	0	0	0	25	0	0	0	0	0	0	0	0	0	0
ASV.348	0	0	0	0	25	0	0	0	0	0	0	0	0	0
ASV.349	0	0	0	0	25	0	0	0	0	0	0	0	0	0
ASV.350	0	0	0	0	0	0	0	6	0	0	19	0	0	0
ASV.351	0	0	0	0	0	0	0	0	0	25	0	0	0	0
ASV.352	0	0	0	0	0	0	0	0	0	0	0	25	0	0
ASV.353	24	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.354	0	0	0	0	12	0	12	0	0	0	0	0	0	0
ASV.355	0	0	0	0	0	0	24	0	0	0	0	0	0	0
ASV.356	0	0	0	0	0	0	0	24	0	0	0	0	0	0
ASV.357	0	0	0	0	0	0	0	0	24	0	0	0	0	0
ASV.358	0	0	0	0	0	0	0	0	0	24	0	0	0	0
ASV.359	0	0	0	0	0	0	0	0	0	24	0	0	0	0
ASV.360	0	0	0	0	0	0	0	0	0	24	0	0	0	0
ASV.361	23	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.362	17	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV.363	0	0	0	0	23	0	0	0	0	0	0	0	0	0
ASV.364	0	0	0	0	23	0	0	0	0	0	0	0	0	0
ASV.365	0	0	0	0	0	0	0	0	23	0	0	0	0	0
ASV.366	0	0	0	0	0	0	0	0	23	0	0	0	0	0
ASV.367	0	0	0	0	0	0	0	0	23	0	0	0	0	0
ASV.368	0	0	0	0	0	0	0	0	23	0	0	0	0	0
ASV.369	0	0	0	0	0	0	0	0	0	23	0	0	0	0
ASV.370	0	0	0	0	0	0	0	0	0	23	0	0	0	0
ASV.371	0	0	0	0	0	0	0	0	0	23	0	0	0	0
ASV.372	0	0	0	0	0	0	0	0	0	23	0	0	0	0
ASV.373	0	0	0	0	0	0	0	0	0	23	0	0	0	0
ASV.374	22	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.375	0	0	0	0	22	0	0	0	0	0	0	0	0	0
ASV.376	0	0	0	0	22	0	0	0	0	0	0	0	0	0
ASV.377	0	0	0	0	0	0	8	0	0	14	0	0	0	0
ASV.378	0	0	0	0	0	0	22	0	0	0	0	0	0	0
ASV.379	0	0	0	0	0	0	0	0	0	22	0	0	0	0
ASV.380	0	0	0	0	0	0	0	0	0	0	0	6	16	0
ASV.381	0	0	21	0	0	0	0	0	0	0	0	0	0	0
ASV.382	0	0	0	0	21	0	0	0	0	0	0	0	0	0
ASV.383	0	0	0	0	21	0	0	0	0	0	0	0	0	0
ASV.384	0	0	0	0	21	0	0	0	0	0	0	0	0	0
ASV.385	0	0	0	0	0	0	0	0	21	0	0	0	0	0
ASV.386	0	0	0	0	0	0	0	0	21	0	0	0	0	0
ASV.387	0	0	0	0	0	0	0	0	21	0	0	0	0	0
ASV.388	0	0	0	0	0	0	0	0	21	0	0	0	0	0
ASV.389	0	0	0	0	0	0	0	0	0	21	0	0	0	0
ASV.390	0	0	0	0	0	0	0	0	0	21	0	0	0	0
ASV.391	0	0	0	0	0	0	0	0	0	21	0	0	0	0
ASV.392	0	0	0	0	0	0	0	0	0	0	0	21	0	0
ASV.393	0	0	0	0	0	0	0	0	0	0	0	0	21	0
ASV.394	0	0	0	0	0	0	0	0	0	0	0	0	21	0
ASV.395	0	0	20	0	0	0	0	0	0	0	0	0	0	0
ASV.396	0	0	0	20	0	0	0	0	0	0	0	0	0	0
