SRR13612797	SRR13612808	SRR13612849	SRR13612860	SRR13612885	SRR13612887	SRR13612888	SRR13612889
ASV.152	25	0	0	0	0	0	0	0
ASV.154	24	0	0	0	0	0	0	0
ASV.155	0	24	0	0	0	0	0	0
ASV.156	0	24	0	0	0	0	0	0
ASV.158	0	0	0	0	9	0	14	0
ASV.159	0	0	0	0	23	0	0	0
ASV.160	0	11	11	0	0	0	0	0
ASV.161	0	0	0	0	0	9	0	13
ASV.162	0	21	0	0	0	0	0	0
ASV.163	0	0	0	21	0	0	0	0
ASV.164	0	0	0	21	0	0	0	0
ASV.165	0	0	0	0	0	21	0	0
ASV.167	20	0	0	0	0	0	0	0
ASV.168	20	0	0	0	0	0	0	0
ASV.169	0	20	0	0	0	0	0	0
ASV.170	0	11	0	9	0	0	0	0
ASV.171	0	20	0	0	0	0	0	0
ASV.174	0	0	0	0	5	0	11	4
ASV.175	0	0	0	0	0	0	20	0
ASV.179	18	0	0	0	0	0	0	0
ASV.180	0	9	9	0	0	0	0	0
ASV.181	0	5	0	13	0	0	0	0
ASV.182	0	0	0	10	0	8	0	0
ASV.184	17	0	0	0	0	0	0	0
ASV.185	0	12	5	0	0	0	0	0
ASV.186	0	0	17	0	0	0	0	0
ASV.187	0	0	17	0	0	0	0	0
ASV.188	16	0	0	0	0	0	0	0
ASV.190	0	0	0	16	0	0	0	0
ASV.191	0	0	0	0	6	0	10	0
ASV.192	0	0	0	0	0	16	0	0
ASV.193	0	0	0	0	0	0	16	0
ASV.194	0	0	0	0	0	0	16	0
ASV.195	0	15	0	0	0	0	0	0
ASV.196	0	0	0	15	0	0	0	0
ASV.197	14	0	0	0	0	0	0	0
ASV.198	14	0	0	0	0	0	0	0
ASV.199	14	0	0	0	0	0	0	0
ASV.200	14	0	0	0	0	0	0	0
ASV.202	0	0	5	0	0	9	0	0
ASV.203	0	0	14	0	0	0	0	0
ASV.205	0	0	0	0	0	0	7	7
ASV.206	13	0	0	0	0	0	0	0
ASV.207	13	0	0	0	0	0	0	0
ASV.208	13	0	0	0	0	0	0	0
ASV.209	13	0	0	0	0	0	0	0
ASV.210	13	0	0	0	0	0	0	0
ASV.211	0	0	0	0	2	11	0	0
ASV.213	12	0	0	0	0	0	0	0
ASV.214	12	0	0	0	0	0	0	0
ASV.215	0	0	0	12	0	0	0	0
ASV.217	0	0	0	0	0	0	8	4
ASV.218	0	0	0	0	0	0	12	0
ASV.219	0	0	0	0	0	0	0	12
ASV.220	0	0	0	0	0	0	0	12
ASV.221	11	0	0	0	0	0	0	0
ASV.222	11	0	0	0	0	0	0	0
ASV.223	11	0	0	0	0	0	0	0
ASV.224	11	0	0	0	0	0	0	0
ASV.225	11	0	0	0	0	0	0	0
ASV.226	11	0	0	0	0	0	0	0
ASV.227	0	0	11	0	0	0	0	0
ASV.229	0	0	0	0	0	0	11	0
ASV.230	0	0	0	0	0	0	11	0
ASV.232	10	0	0	0	0	0	0	0
ASV.233	10	0	0	0	0	0	0	0
ASV.234	10	0	0	0	0	0	0	0
ASV.235	10	0	0	0	0	0	0	0
ASV.236	10	0	0	0	0	0	0	0
ASV.237	0	0	0	10	0	0	0	0
ASV.238	0	0	0	0	10	0	0	0
ASV.240	0	0	0	0	0	10	0	0
ASV.241	0	0	0	0	0	10	0	0
ASV.242	0	0	0	0	0	10	0	0
ASV.243	0	0	0	0	0	10	0	0
ASV.245	0	0	0	0	0	0	10	0
ASV.248	9	0	0	0	0	0	0	0
ASV.249	0	9	0	0	0	0	0	0
ASV.251	0	0	0	9	0	0	0	0
ASV.252	0	0	0	0	5	4	0	0
ASV.253	0	0	0	0	9	0	0	0
ASV.254	0	0	0	0	0	9	0	0
ASV.255	0	0	0	0	0	9	0	0
ASV.258	0	0	0	0	0	0	0	9
ASV.259	8	0	0	0	0	0	0	0
ASV.260	8	0	0	0	0	0	0	0
ASV.261	8	0	0	0	0	0	0	0
ASV.262	8	0	0	0	0	0	0	0
ASV.263	8	0	0	0	0	0	0	0
ASV.264	8	0	0	0	0	0	0	0
ASV.265	0	8	0	0	0	0	0	0
ASV.266	0	8	0	0	0	0	0	0
ASV.269	0	0	0	8	0	0	0	0
ASV.270	0	0	0	8	0	0	0	0
ASV.274	0	0	0	0	8	0	0	0
ASV.275	0	0	0	0	0	6	0	2
ASV.276	0	0	0	0	0	8	0	0
ASV.277	0	0	0	0	0	8	0	0
ASV.278	7	0	0	0	0	0	0	0
ASV.279	0	7	0	0	0	0	0	0
ASV.280	0	0	7	0	0	0	0	0
ASV.281	0	0	4	3	0	0	0	0
ASV.284	0	0	0	0	7	0	0	0
ASV.285	0	0	0	0	0	7	0	0
ASV.286	0	0	0	0	0	7	0	0
ASV.288	0	0	0	0	0	0	0	7
ASV.289	0	0	0	0	0	0	0	7
ASV.290	0	0	0	0	0	0	0	7
ASV.291	0	0	0	0	0	0	0	7
ASV.292	6	0	0	0	0	0	0	0
ASV.293	6	0	0	0	0	0	0	0
ASV.294	6	0	0	0	0	0	0	0
