Gradoville1-68484	Gradoville2-68485	Gradoville3-68490	Gradoville4-68491	Gradoville5-68496	Gradoville6-68497	Gradoville7-68502	Gradoville8-68503	Gradoville9-68504	Gradoville10-68505	Gradoville11-68506	Gradoville12-68507	Gradoville13-68508	Gradoville14-68509	Gradoville15-68514	Gradoville16-68515	Gradoville17-68516	Gradoville18-68517	Gradoville19-68518	Gradoville20-68519	Gradoville21-68524	Gradoville22-68525	Gradoville23-68530	Gradoville24-68531	Gradoville25-68535	Gradoville26-68536	Gradoville27-68537	Gradoville28-68538	Gradoville29-68543	Gradoville30-68544	Gradoville98-68885	Gradoville99-68886	Gradoville100-68895	Gradoville101-68896	Gradoville102-68897	Gradoville103-68898	Gradoville104-68899	Gradoville105-68900	Gradoville106-68901	Gradoville107-68902	Gradoville108-68907	Gradoville109-68908	Gradoville110-68913	Gradoville111-68914	Gradoville112-68925	Gradoville113-68926	Gradoville114-68927	Gradoville115-68928	Gradoville116-68929	Gradoville117-68930	Gradoville118-68935	Gradoville119-68936	Gradoville120-68937	Gradoville121-68938
ASV.17	0	1276	431	0	1118	0	0	1813	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	9	11	43	33	75	41	24	29	81	0	82	534	122	456	0	471	431	122	412	0	181	247	99	181	87	0	0	73	161	278	0	159	146	76	124
ASV.21	1174	1479	623	379	137	69	71	31	90	71	0	0	0	0	44	37	31	195	37	34	9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
ASV.23	0	0	0	0	0	0	0	0	0	0	523	0	0	2258	0	0	0	0	0	23	33	71	63	73	96	65	65	54	35	0	115	36	0	0	0	161	95	140	0	189	59	0	0	18	0	0	0	0	74	0	0	0	0	0
ASV.24	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	71	0	157	108	116	66	122	167	229	76	259	59	122	0	228	204	195	308	69	93	178	124	116	113	166	0	0	0	25	0	0	80	123	0
ASV.25	103	92	101	68	113	76	55	44	165	0	544	599	1232	184	0	0	39	28	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.28	0	0	3319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.30	190	193	51	99	165	216	181	106	110	72	0	0	0	0	113	131	57	159	273	221	234	215	0	0	92	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	114	0	0	89	0
ASV.31	815	1044	565	347	0	0	0	0	0	0	0	0	0	0	0	0	212	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.34	15	19	11	75	156	106	304	116	259	0	0	0	0	315	260	65	11	38	5	41	23	35	38	37	23	64	0	45	0	0	103	22	0	0	0	0	39	251	0	0	59	29	114	58	53	0	16	31	36	0	85	63	65	58
ASV.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2046	1083	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.36	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	60	0	84	64	47	0	126	159	94	240	58	81	219	292	287	143	358	100	0	167	95	75	0	0	37	55	79	0	0	64	0	0	94
ASV.38	0	0	0	0	0	0	0	0	0	0	696	1196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	16	0	3	28	310	307	33	62	0	0
ASV.39	0	0	0	0	123	86	85	0	152	0	0	0	0	0	75	93	0	80	96	102	77	225	0	71	233	0	0	0	0	0	99	105	0	0	261	0	0	120	0	0	95	53	57	56	0	0	0	0	72	128	0	61	0	66
ASV.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	380	517	0	0	17	0	0	0	0	0	0	0	0	0	788	0	272	51	0	0	0	0	0	0	0	0	0	286
ASV.43	942	1329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.46	9	14	11	95	126	100	219	78	191	0	0	0	0	0	165	57	0	32	10	27	13	38	27	34	42	48	0	16	0	0	97	21	0	0	0	8	14	221	0	0	52	13	50	40	0	0	0	8	40	0	114	54	42	38
ASV.49	0	0	0	517	292	81	60	99	77	0	0	0	0	0	242	370	95	177	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.51	0	0	0	0	0	0	0	0	0	0	1897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.52	1637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
